region,vendor_id,total_spend,average_spend,total_purchase_orders,vendor_rank,total_vendors,gold_load_timestamp
CENTRAL,V0398,24700545.68000002,127322.40041237122,148,73,101,2026-07-12T09:09:56.639Z
CENTRAL,V0196,24188099.549999993,171546.8053191489,111,74,101,2026-07-12T09:09:56.639Z
CENTRAL,V0434,24187639.76,180504.7743283582,98,75,101,2026-07-12T09:09:56.639Z
CENTRAL,V0195,24000435.660000004,120002.17830000001,155,76,101,2026-07-12T09:09:56.639Z
CENTRAL,V0400,23802540.44000001,114435.29057692311,158,77,101,2026-07-12T09:09:56.639Z
CENTRAL,V0384,23599072.57,109763.12823255814,159,78,101,2026-07-12T09:09:56.639Z
CENTRAL,V0285,23483014.799999997,147691.91698113206,125,79,101,2026-07-12T09:09:56.639Z
CENTRAL,V0120,23155147.109999996,151340.8307843137,106,80,101,2026-07-12T09:09:56.639Z
CENTRAL,V0278,21809993.650000006,126802.28866279073,133,81,101,2026-07-12T09:09:56.639Z
CENTRAL,V0374,21419897.59,115783.23021621621,131,82,101,2026-07-12T09:09:56.639Z
CENTRAL,V0017,21415749.890000004,131384.96865030678,116,83,101,2026-07-12T09:09:56.639Z
CENTRAL,V0081,20952602.589999996,151830.4535507246,107,84,101,2026-07-12T09:09:56.639Z
CENTRAL,V0270,20723478.53,145939.98964788733,110,85,101,2026-07-12T09:09:56.639Z
CENTRAL,V0360,20496356.599999998,141354.18344827584,112,86,101,2026-07-12T09:09:56.639Z
CENTRAL,V0124,20306995.360000003,163766.09161290326,93,87,101,2026-07-12T09:09:56.639Z
CENTRAL,V0376,19206569.459999997,104953.93147540982,141,88,101,2026-07-12T09:09:56.639Z
CENTRAL,V0342,17951081.89,115071.03775641027,124,89,101,2026-07-12T09:09:56.639Z
CENTRAL,V0010,17896018.119999997,192430.30236559137,64,90,101,2026-07-12T09:09:56.639Z
CENTRAL,V0303,17742076.51,111585.38685534592,124,91,101,2026-07-12T09:09:56.639Z
CENTRAL,V0165,17296540.779999997,146580.85406779658,90,92,101,2026-07-12T09:09:56.639Z
CENTRAL,V0286,17077712.3,159604.78785046728,84,93,101,2026-07-12T09:09:56.639Z
CENTRAL,V0351,16465861.15,155338.31273584906,86,94,101,2026-07-12T09:09:56.639Z
CENTRAL,V0432,15082293.910000006,102600.63884353745,110,95,101,2026-07-12T09:09:56.639Z
CENTRAL,V0301,14753039.090000004,121925.94289256202,96,96,101,2026-07-12T09:09:56.639Z
CENTRAL,V0020,13796465.509999998,122092.61513274335,89,97,101,2026-07-12T09:09:56.639Z
CENTRAL,V0170,13492585.279999997,92414.96767123287,103,98,101,2026-07-12T09:09:56.639Z
CENTRAL,V0022,12911767.750000002,102474.34722222223,89,99,101,2026-07-12T09:09:56.639Z
CENTRAL,V0293,12061339.779999997,98863.4408196721,92,100,101,2026-07-12T09:09:56.639Z
CENTRAL,V0143,11730603.99,148488.6581012658,54,101,101,2026-07-12T09:09:56.639Z
EAST,V0335,80650286.89999999,161623.82144288576,394,1,98,2026-07-12T09:09:56.639Z
EAST,V0353,80103514.19000004,156147.20115009753,392,2,98,2026-07-12T09:09:56.639Z
EAST,V0135,77107137.87,126405.14404918034,460,3,98,2026-07-12T09:09:56.639Z
EAST,V0473,74189426.80000003,169769.85537757442,337,4,98,2026-07-12T09:09:56.639Z
EAST,V0319,70637818.88999999,166206.6326823529,302,5,98,2026-07-12T09:09:56.639Z
EAST,V0161,70488461.23,134263.7356761905,397,6,98,2026-07-12T09:09:56.639Z
EAST,V0475,70045420.99000007,148401.3156567798,349,7,98,2026-07-12T09:09:56.639Z
EAST,V0233,65103719.250000015,159177.79767726164,305,8,98,2026-07-12T09:09:56.639Z
EAST,V0362,65028418.98999999,132440.77187372706,365,9,98,2026-07-12T09:09:56.639Z
EAST,V0330,62993071.709999986,166648.33785714282,282,10,98,2026-07-12T09:09:56.639Z
EAST,V0109,61528076.64000001,147904.0303846154,304,11,98,2026-07-12T09:09:56.639Z
EAST,V0280,61272162.629999995,142825.5539160839,332,12,98,2026-07-12T09:09:56.639Z
EAST,V0411,61172063.57999997,113914.4573184357,411,13,98,2026-07-12T09:09:56.639Z
EAST,V0266,59871124.17999994,151189.70752525236,283,14,98,2026-07-12T09:09:56.639Z
EAST,V0193,59459680.36999999,160701.8388378378,277,15,98,2026-07-12T09:09:56.639Z
EAST,V0427,57712862.61999999,148362.11470437015,273,16,98,2026-07-12T09:09:56.639Z
EAST,V0312,56455781.71000002,158583.6564887641,268,17,98,2026-07-12T09:09:56.639Z
EAST,V0127,56333086.21999999,182307.722394822,225,18,98,2026-07-12T09:09:56.639Z
EAST,V0035,56124808.350000024,150873.14072580653,278,19,98,2026-07-12T09:09:56.639Z
EAST,V0053,55083425.989999995,148073.72577956988,262,20,98,2026-07-12T09:09:56.639Z
EAST,V0469,54749202.169999994,142948.308537859,286,21,98,2026-07-12T09:09:56.639Z
EAST,V0140,54163193.849999994,163635.0267371601,255,22,98,2026-07-12T09:09:56.639Z
EAST,V0471,53553814.510000005,149174.9707799443,275,23,98,2026-07-12T09:09:56.639Z
EAST,V0359,53511745.51000003,148643.73752777785,264,24,98,2026-07-12T09:09:56.639Z
EAST,V0393,52262626.790000014,120420.79905529958,328,25,98,2026-07-12T09:09:56.639Z
EAST,V0031,48388086.969999984,170982.6394699646,211,26,98,2026-07-12T09:09:56.639Z
EAST,V0043,46816912.56,178011.07437262358,201,27,98,2026-07-12T09:09:56.639Z
EAST,V0059,46207975.739999995,176366.3196183206,194,28,98,2026-07-12T09:09:56.639Z
EAST,V0446,45118480.219999984,142780.00069620248,238,29,98,2026-07-12T09:09:56.639Z
EAST,V0340,44584110.9,135927.16737804876,249,30,98,2026-07-12T09:09:56.639Z
EAST,V0336,44531316.09000001,128332.32302593662,253,31,98,2026-07-12T09:09:56.639Z
EAST,V0089,43612401.07,162127.88501858737,206,32,98,2026-07-12T09:09:56.639Z
EAST,V0435,43461465.98,109474.7253904282,301,33,98,2026-07-12T09:09:56.639Z
EAST,V0185,43045032.36000001,145915.3639322034,215,34,98,2026-07-12T09:09:56.639Z
EAST,V0430,42068919.03000004,145065.2380344829,215,35,98,2026-07-12T09:09:56.639Z
EAST,V0176,41872330.610000014,144387.34693103452,218,36,98,2026-07-12T09:09:56.639Z
EAST,V0397,40951601.60999999,150005.86670329666,211,37,98,2026-07-12T09:09:56.639Z
EAST,V0041,40373367.910000004,119447.83405325445,247,38,98,2026-07-12T09:09:56.639Z
EAST,V0183,39802265.57,121348.3706402439,237,39,98,2026-07-12T09:09:56.639Z
EAST,V0132,38746839.09,127877.35673267327,240,40,98,2026-07-12T09:09:56.639Z
EAST,V0309,38563563.42,125206.37474025975,232,41,98,2026-07-12T09:09:56.639Z
EAST,V0068,38467012.559999995,174850.05709090907,165,42,98,2026-07-12T09:09:56.639Z
EAST,V0150,38406466.319999985,223293.40883720922,124,43,98,2026-07-12T09:09:56.639Z
EAST,V0040,38313426.92000001,163732.59367521372,170,44,98,2026-07-12T09:09:56.639Z
EAST,V0064,37182998.02000001,122716.16508250829,224,45,98,2026-07-12T09:09:56.639Z
EAST,V0467,37022578.45999999,145186.5821960784,195,46,98,2026-07-12T09:09:56.639Z
EAST,V0455,37003801.43999999,160886.09321739126,180,47,98,2026-07-12T09:09:56.639Z
EAST,V0243,34842775.28,147015.9294514768,176,48,98,2026-07-12T09:09:56.639Z
EAST,V0032,33877135.250000015,188206.3069444445,134,49,98,2026-07-12T09:09:56.639Z
EAST,V0210,33098504.889999997,170610.8499484536,147,50,98,2026-07-12T09:09:56.639Z
EAST,V0066,30925075.26000001,133874.7846753247,176,51,98,2026-07-12T09:09:56.639Z
EAST,V0421,30424857.99,171891.85305084745,117,52,98,2026-07-12T09:09:56.639Z
EAST,V0160,29931175.740000006,218475.73532846718,95,53,98,2026-07-12T09:09:56.639Z
EAST,V0080,29474511.9,128150.05173913043,179,54,98,2026-07-12T09:09:56.639Z
EAST,V0069,28876152.990000002,128338.45773333334,173,55,98,2026-07-12T09:09:56.639Z
EAST,V0071,28358992.35,146937.7841968912,147,56,98,2026-07-12T09:09:56.639Z
EAST,V0274,27981593.599999994,112375.87791164656,202,57,98,2026-07-12T09:09:56.639Z
EAST,V0438,27968248.99000001,152001.3532065218,131,58,98,2026-07-12T09:09:56.639Z
EAST,V0345,27244406.029999997,137598.01025252524,145,59,98,2026-07-12T09:09:56.639Z
EAST,V0093,27217891.49,162011.2588690476,118,60,98,2026-07-12T09:09:56.639Z
EAST,V0366,27038012.529999997,122343.9480995475,163,61,98,2026-07-12T09:09:56.639Z
EAST,V0083,26959899.120000005,147321.85311475414,128,62,98,2026-07-12T09:09:56.639Z
EAST,V0465,25885478.72999999,207083.8298399999,104,63,98,2026-07-12T09:09:56.639Z
EAST,V0156,25743505.819999993,150546.81766081866,125,64,98,2026-07-12T09:09:56.639Z
EAST,V0348,25560799.930000015,125915.27059113307,165,65,98,2026-07-12T09:09:56.639Z
EAST,V0027,25503612.19,112350.71449339208,177,66,98,2026-07-12T09:09:56.639Z
EAST,V0489,24920244.650000002,161819.77045454548,112,67,98,2026-07-12T09:09:56.639Z
EAST,V0145,24433235.72,143724.916,117,68,98,2026-07-12T09:09:56.639Z
EAST,V0310,23712275.19,285690.0625301205,62,69,98,2026-07-12T09:09:56.639Z
EAST,V0383,23646714.18000001,112603.40085714291,155,70,98,2026-07-12T09:09:56.639Z
EAST,V0488,23577603.80999999,139512.4485798816,122,71,98,2026-07-12T09:09:56.639Z
EAST,V0099,22468828.420000006,146855.08771241835,115,72,98,2026-07-12T09:09:56.639Z
EAST,V0268,22305416.729999997,144840.36837662334,116,73,98,2026-07-12T09:09:56.639Z
EAST,V0133,21739045.75,136723.55817610063,108,74,98,2026-07-12T09:09:56.639Z
EAST,V0441,21435433.719999995,142902.89146666662,116,75,98,2026-07-12T09:09:56.639Z
EAST,V0484,21315103.09,169167.48484126985,89,76,98,2026-07-12T09:09:56.639Z
EAST,V0369,20716422.939999994,110193.73904255316,141,77,98,2026-07-12T09:09:56.639Z
EAST,V0314,20295901.06,130941.29716129032,118,78,98,2026-07-12T09:09:56.639Z
EAST,V0051,19995506.729999997,145952.6038686131,102,79,98,2026-07-12T09:09:56.639Z
EAST,V0104,18487120.650000013,133000.8679856116,108,80,98,2026-07-12T09:09:56.639Z
EAST,V0494,18185995.279999997,124561.6115068493,116,81,98,2026-07-12T09:09:56.639Z
EAST,V0003,18090982.31,98857.82683060109,141,82,98,2026-07-12T09:09:56.639Z
EAST,V0391,17719052.56,119723.3281081081,114,83,98,2026-07-12T09:09:56.639Z
EAST,V0357,17235893.08,135715.69354330708,100,84,98,2026-07-12T09:09:56.639Z
EAST,V0317,16428695.639999997,116515.57191489359,110,85,98,2026-07-12T09:09:56.639Z
EAST,V0431,15938547.059999997,109921.01420689654,107,86,98,2026-07-12T09:09:56.639Z
EAST,V0462,14636513.930000003,99568.12197278914,121,87,98,2026-07-12T09:09:56.639Z
EAST,V0447,14229797.779999997,187234.18131578944,59,88,98,2026-07-12T09:09:56.639Z
EAST,V0371,14108682.909999998,176358.53637499997,67,89,98,2026-07-12T09:09:56.639Z
EAST,V0420,13741416.589999998,92224.27241610737,126,90,98,2026-07-12T09:09:56.639Z
EAST,V0225,12668642.750000004,171197.87500000006,54,91,98,2026-07-12T09:09:56.639Z
EAST,V0408,10737844.98,116715.70630434783,66,92,98,2026-07-12T09:09:56.639Z
EAST,V0087,10693558.95,111391.2390625,77,93,98,2026-07-12T09:09:56.639Z
EAST,V0332,10390728.659999998,129884.10824999998,61,94,98,2026-07-12T09:09:56.639Z
EAST,V0206,10015993.259999996,102204.01285714282,74,95,98,2026-07-12T09:09:56.639Z
EAST,V0428,9956747.900000002,115776.13837209305,69,96,98,2026-07-12T09:09:56.639Z
EAST,V0354,9824976.5,142390.96376811594,53,97,98,2026-07-12T09:09:56.639Z
EAST,V0390,8317279.869999998,90405.21597826085,74,98,98,2026-07-12T09:09:56.639Z
NORTH,V0130,175550565.85999995,156741.57666071426,833,1,107,2026-07-12T09:09:56.639Z
NORTH,V0249,93197488.72000001,150561.37111470115,457,2,107,2026-07-12T09:09:56.639Z
NORTH,V0223,89145943.11,150584.3633614865,444,3,107,2026-07-12T09:09:56.639Z
NORTH,V0378,86054165.39999995,200592.46013986002,312,4,107,2026-07-12T09:09:56.639Z
NORTH,V0443,81807904.5,175553.4431330472,353,5,107,2026-07-12T09:09:56.639Z
NORTH,V0377,81477871.45999998,142443.8312237762,413,6,107,2026-07-12T09:09:56.639Z
NORTH,V0246,79326520.16999999,175501.15081858405,330,7,107,2026-07-12T09:09:56.639Z
NORTH,V0192,77170940.37999998,131691.0245392491,440,8,107,2026-07-12T09:09:56.639Z
NORTH,V0163,74641804.74000002,153900.62832989695,371,9,107,2026-07-12T09:09:56.639Z
NORTH,V0424,71808285.79000004,187488.99684073115,285,10,107,2026-07-12T09:09:56.639Z
NORTH,V0009,63472243.56000005,225879.87032028486,208,11,107,2026-07-12T09:09:56.639Z
NORTH,V0250,63033041.24,123352.33119373777,400,12,107,2026-07-12T09:09:56.639Z
NORTH,V0350,59303133.46000002,152450.21455012858,276,13,107,2026-07-12T09:09:56.639Z
NORTH,V0252,59195183.58999998,125413.5245550847,356,14,107,2026-07-12T09:09:56.639Z
NORTH,V0036,58744466.13000002,149477.01305343516,290,15,107,2026-07-12T09:09:56.639Z
NORTH,V0154,58466788.49000003,147271.50753148622,299,16,107,2026-07-12T09:09:56.639Z
NORTH,V0451,57444558.93,174603.52258358663,252,17,107,2026-07-12T09:09:56.639Z
NORTH,V0464,55384232.359999985,133778.3390338164,315,18,107,2026-07-12T09:09:56.639Z
NORTH,V0090,52951366.52999997,149580.13144067788,257,19,107,2026-07-12T09:09:56.639Z
NORTH,V0367,51945055.94000003,126080.23286407774,288,20,107,2026-07-12T09:09:56.639Z
NORTH,V0253,51922079.98000001,135213.7499479167,285,21,107,2026-07-12T09:09:56.639Z
NORTH,V0415,51498153.43000001,186587.51242753625,207,22,107,2026-07-12T09:09:56.639Z
NORTH,V0326,51256851.300000004,189840.19,202,23,107,2026-07-12T09:09:56.639Z
NORTH,V0169,51074045.31999998,108899.88341151382,350,24,107,2026-07-12T09:09:56.639Z
NORTH,V0013,50326637.02,129042.65902564103,297,25,107,2026-07-12T09:09:56.639Z
NORTH,V0167,50080606.969999984,173890.99642361107,206,26,107,2026-07-12T09:09:56.639Z
NORTH,V0346,49346582.490000024,134459.35283378753,281,27,107,2026-07-12T09:09:56.639Z
NORTH,V0194,49116617.69999997,142367.0078260869,250,28,107,2026-07-12T09:09:56.639Z
NORTH,V0047,47980625.379999995,195043.192601626,182,29,107,2026-07-12T09:09:56.639Z
NORTH,V0158,47849567.800000004,130736.52404371586,275,30,107,2026-07-12T09:09:56.639Z
NORTH,V0392,47832721.87,134361.57828651686,271,31,107,2026-07-12T09:09:56.639Z
NORTH,V0290,47753432.41999999,133017.9176044568,266,32,107,2026-07-12T09:09:56.639Z
NORTH,V0115,46221051.619999975,149582.69132686075,229,33,107,2026-07-12T09:09:56.639Z
NORTH,V0487,45493775.45999999,150144.47346534653,221,34,107,2026-07-12T09:09:56.639Z
NORTH,V0363,45215793.089999996,243095.66177419352,136,35,107,2026-07-12T09:09:56.639Z
NORTH,V0282,45021542.81,157970.32564912282,216,36,107,2026-07-12T09:09:56.639Z
NORTH,V0012,44868952.569999985,147595.2387171052,220,37,107,2026-07-12T09:09:56.639Z
NORTH,V0144,44722261.48999999,168763.25090566033,196,38,107,2026-07-12T09:09:56.639Z
NORTH,V0166,43065789.31,138031.37599358975,233,39,107,2026-07-12T09:09:56.639Z
NORTH,V0129,42287448.470000006,135972.50311897107,230,40,107,2026-07-12T09:09:56.639Z
NORTH,V0436,42239591.57999999,133669.5936075949,243,41,107,2026-07-12T09:09:56.639Z
NORTH,V0320,41908173.01999999,126229.43680722888,244,42,107,2026-07-12T09:09:56.639Z
NORTH,V0072,41582341.12999999,159932.08126923072,186,43,107,2026-07-12T09:09:56.639Z
NORTH,V0039,41435979.239999995,186648.5551351351,156,44,107,2026-07-12T09:09:56.639Z
NORTH,V0002,40446143.65000001,166445.03559670786,181,45,107,2026-07-12T09:09:56.639Z
NORTH,V0468,38996367.39999999,144967.90855018585,197,46,107,2026-07-12T09:09:56.639Z
NORTH,V0379,38953675.36,177062.1607272727,157,47,107,2026-07-12T09:09:56.639Z
NORTH,V0458,38814738.229999974,159731.4330452674,180,48,107,2026-07-12T09:09:56.639Z
NORTH,V0297,38483444.239999995,128278.14746666665,225,49,107,2026-07-12T09:09:56.639Z
NORTH,V0321,38403569.39999999,179455.93177570088,160,50,107,2026-07-12T09:09:56.639Z
NORTH,V0382,38043465.71999999,152173.86287999997,184,51,107,2026-07-12T09:09:56.639Z
NORTH,V0230,37972888.45000002,124094.40669934647,222,52,107,2026-07-12T09:09:56.639Z
NORTH,V0019,37623586.959999986,166476.04849557515,171,53,107,2026-07-12T09:09:56.639Z
NORTH,V0281,37225546.28,131539.03279151945,218,54,107,2026-07-12T09:09:56.639Z
NORTH,V0056,36873220.94,104753.46857954544,273,55,107,2026-07-12T09:09:56.639Z
NORTH,V0189,36785028.79999998,150758.31475409828,180,56,107,2026-07-12T09:09:56.639Z
NORTH,V0114,36359958.32999998,119605.12608552627,226,57,107,2026-07-12T09:09:56.639Z
NORTH,V0302,36154718.94000001,177229.01441176477,147,58,107,2026-07-12T09:09:56.639Z
NORTH,V0437,35387535.15999999,136105.90446153842,197,59,107,2026-07-12T09:09:56.639Z
NORTH,V0014,35300906.14999999,166513.70825471694,150,60,107,2026-07-12T09:09:56.639Z
NORTH,V0049,35120797.59,158201.79094594595,155,61,107,2026-07-12T09:09:56.639Z
NORTH,V0060,35097370.01,137099.1016015625,190,62,107,2026-07-12T09:09:56.639Z
NORTH,V0325,34481546.97,161128.7241588785,168,63,107,2026-07-12T09:09:56.639Z
NORTH,V0057,33293830.209999993,185999.05145251393,130,64,107,2026-07-12T09:09:56.639Z
NORTH,V0368,32243373.860000007,143943.63330357146,172,65,107,2026-07-12T09:09:56.639Z
NORTH,V0001,32059424.640000008,108308.86702702705,220,66,107,2026-07-12T09:09:56.639Z
NORTH,V0442,31823923.210000012,131503.81491735543,178,67,107,2026-07-12T09:09:56.639Z
NORTH,V0204,31601233.20999999,125901.32752988044,196,68,107,2026-07-12T09:09:56.639Z
NORTH,V0234,30818245.7,189068.99202453988,121,69,107,2026-07-12T09:09:56.639Z
NORTH,V0396,29655394.98,175475.7099408284,126,70,107,2026-07-12T09:09:56.639Z
NORTH,V0201,28590719.540000003,105112.93948529413,221,71,107,2026-07-12T09:09:56.639Z
NORTH,V0044,28204122.19,167881.67970238096,115,72,107,2026-07-12T09:09:56.639Z
NORTH,V0134,28068997.730000004,179929.47262820514,120,73,107,2026-07-12T09:09:56.639Z
NORTH,V0413,27649529.629999995,97357.49869718308,220,74,107,2026-07-12T09:09:56.639Z
NORTH,V0062,25883680.830000002,161773.0051875,125,75,107,2026-07-12T09:09:56.639Z
NORTH,V0276,25565539.739999995,138943.15076086952,140,76,107,2026-07-12T09:09:56.639Z
NORTH,V0292,25143759.04000001,158136.84930817617,119,77,107,2026-07-12T09:09:56.639Z
NORTH,V0294,25017620.73999999,133072.4507446808,141,78,107,2026-07-12T09:09:56.639Z
NORTH,V0028,24559177.120000005,118072.96692307695,159,79,107,2026-07-12T09:09:56.639Z
NORTH,V0207,24188010.37,163432.5025,110,80,107,2026-07-12T09:09:56.639Z
NORTH,V0116,23540024.750000004,115960.71305418722,149,81,107,2026-07-12T09:09:56.639Z
NORTH,V0229,23459336.670000006,161788.52875862073,105,82,107,2026-07-12T09:09:56.639Z
NORTH,V0429,23422503.259999998,172224.28867647058,94,83,107,2026-07-12T09:09:56.639Z
NORTH,V0264,22938898.810000006,154992.55952702707,103,84,107,2026-07-12T09:09:56.639Z
NORTH,V0084,22757991.689999994,130793.05568965514,134,85,107,2026-07-12T09:09:56.639Z
NORTH,V0200,21567111.83,140046.1807142857,115,86,107,2026-07-12T09:09:56.639Z
NORTH,V0222,20952523.590000004,154062.67345588238,100,87,107,2026-07-12T09:09:56.639Z
NORTH,V0406,20928128.1,113739.82663043479,134,88,107,2026-07-12T09:09:56.639Z
NORTH,V0231,20441590.59,180899.0317699115,80,89,107,2026-07-12T09:09:56.639Z
NORTH,V0121,19979889.87,161128.14411290325,99,90,107,2026-07-12T09:09:56.639Z
NORTH,V0202,19730774.160000008,107818.43803278693,147,91,107,2026-07-12T09:09:56.639Z
