vendor_id,item_name,total_spend,average_invoice_amount,total_purchase_orders,total_quantity_purchased,latest_active_contract_price,total_vendors,gold_load_timestamp
V0048,Electrical Steel Rod Kit,658491.84,219497.28,2,1013.0,600.56,500,2026-07-11T20:39:56.570Z
V0230,Electrical Conveyor Belt Heavy Duty,425790.87,70965.145,4,978.0,0.0,500,2026-07-11T20:39:56.570Z
V0246,Mechanical Conveyor Belt,1.324205198E7,1103504.3316666668,5,3804.0,3681.08,500,2026-07-11T20:39:56.570Z
V0230,Structural Pressure Gauge Standard,2133744.3,304820.6142857143,3,1356.0,1678.28,500,2026-07-11T20:39:56.570Z
V0415,Electrical Transformer Oil Kit,366254.81,183127.405,2,864.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Safety Pressure Gauge Premium,108440.35999999999,27110.089999999997,4,573.0,0.0,500,2026-07-11T20:39:56.570Z
V0066,Safety Lubricant Kit,268994.84,268994.84,1,390.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Instrumentation Transformer Oil Kit,599575.04,119915.008,4,1190.0,0.0,500,2026-07-11T20:39:56.570Z
V0246,Mechanical Copper Wire Heavy Duty,457822.06999999995,65403.15285714285,5,1389.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Safety Transformer Oil Premium,673577.97,96225.42428571428,6,1875.0,0.0,500,2026-07-11T20:39:56.570Z
V0301,Instrumentation Flow Meter Kit,195612.96,97806.48,2,791.0,0.0,500,2026-07-11T20:39:56.570Z
V0175,Safety Conveyor Belt Standard,272784.08999999997,136392.04499999998,2,643.0,0.0,500,2026-07-11T20:39:56.570Z
V0241,Structural Bearing Kit,316809.66,39601.2075,6,1242.0,0.0,500,2026-07-11T20:39:56.570Z
V0110,Mechanical Flow Meter Premium,100771.86,100771.86,1,46.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Instrumentation Flow Meter Heavy Duty,802863.2199999999,89207.02444444443,6,1885.0,0.0,500,2026-07-11T20:39:56.570Z
V0027,Structural Pneumatic Cylinder Premium,12041.36,12041.36,1,214.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Structural Transformer Oil,623425.7799999999,62342.577999999994,9,2112.0,0.0,500,2026-07-11T20:39:56.570Z
V0175,Mechanical Flow Meter,4545.5,2272.75,2,115.0,0.0,500,2026-07-11T20:39:56.570Z
V0301,Structural Copper Wire Standard,102979.18,102979.18,1,213.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Fluid Conveyor Belt Kit,124459.45,41486.48333333333,3,259.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Electrical Transformer Oil Kit,1034884.9200000002,147840.70285714287,4,1946.0,0.0,500,2026-07-11T20:39:56.570Z
V0230,Mechanical Electric Motor Premium,344622.6,68924.51999999999,2,1013.0,0.0,500,2026-07-11T20:39:56.570Z
V0230,Structural Bearing Kit,761989.54,190497.385,4,1159.0,0.0,500,2026-07-11T20:39:56.570Z
V0408,Fluid Safety Helmet Standard,292195.26,292195.26,1,387.0,0.0,500,2026-07-11T20:39:56.570Z
V0048,Structural Transformer Oil,708020.98,101145.85428571429,3,2555.0,0.0,500,2026-07-11T20:39:56.570Z
V0165,Structural Conveyor Belt Premium,363755.96,121251.98666666668,2,979.4046957784994,432.44,500,2026-07-11T20:39:56.570Z
V0230,Electrical Gearbox Kit,1752467.52,584155.84,2,923.0,1769.5,500,2026-07-11T20:39:56.570Z
V0066,Mechanical Fasteners Premium,2144589.9,714863.2999999999,2,566.0,3687.55,500,2026-07-11T20:39:56.570Z
V0135,Fluid Safety Helmet Premium,378288.87,126096.29,2,969.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Electrical Steel Rod Kit,347542.76,69508.552,5,1266.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Fluid Conveyor Belt Kit,703623.5499999999,78180.39444444444,6,1710.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0072,Mechanical Flow Meter,81522.05,27174.016666666666,3,649.0,0.0,500,2026-07-11T20:39:56.570Z
V0165,Mechanical Pressure Gauge Premium,77107.91,77107.91,1,222.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Structural Copper Wire Premium,382107.63,47763.45375,6,1936.0,0.0,500,2026-07-11T20:39:56.570Z
V0324,Structural Conveyor Belt Premium,54455.38,13613.845,4,1257.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Electrical Transformer Oil Standard,1588140.9299999997,113438.63785714284,6,3720.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Safety Pneumatic Cylinder Kit,278731.88,69682.97,2,1326.0,0.0,500,2026-07-11T20:39:56.570Z
V0255,Structural Steel Rod Kit,187367.71,93683.855,2,444.0,0.0,500,2026-07-11T20:39:56.570Z
V0072,Safety Transformer Oil Heavy Duty,73972.44,73972.44,1,449.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Mechanical Pressure Gauge Premium,484079.95,53786.66111111111,7,2729.0,0.0,500,2026-07-11T20:39:56.570Z
V0324,Fluid Conveyor Belt Kit,166839.44999999998,33367.89,2,1030.809391556999,0.0,500,2026-07-11T20:39:56.570Z
V0366,Instrumentation Pneumatic Cylinder Premium,567344.48,113468.896,3,1193.0,0.0,500,2026-07-11T20:39:56.570Z
V0324,Electrical Steel Rod Standard,212819.11,53204.7775,4,822.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Safety Transformer Oil Standard,142150.57,23691.76166666667,5,1108.0,146.52,500,2026-07-11T20:39:56.570Z
V0135,Safety Pneumatic Cylinder,893720.0000000001,81247.27272727274,6,2270.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Electrical Circuit Breaker,424144.4,60592.05714285715,6,1792.0,0.0,500,2026-07-11T20:39:56.570Z
V0165,Instrumentation Bearing,227225.36000000004,37870.89333333334,4,759.0,0.0,500,2026-07-11T20:39:56.570Z
V0366,Mechanical Copper Wire Heavy Duty,199392.59,49848.1475,4,1033.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0072,Electrical Pvc Pipe Premium,2591701.67,518340.334,4,1472.0,2840.07,500,2026-07-11T20:39:56.570Z
V0097,Safety Control Panel,122111.12999999999,24422.226,5,910.0,246.48,500,2026-07-11T20:39:56.570Z
V0217,Electrical Pvc Pipe Kit,357707.1,89426.775,2,850.0,0.0,500,2026-07-11T20:39:56.570Z
V0146,Structural Transformer Oil Kit,517114.98,129278.745,2,1430.0,0.0,500,2026-07-11T20:39:56.570Z
V0157,Instrumentation Flow Meter Kit,1.193644289E7,852603.0635714286,3,3288.0,3993.74,500,2026-07-11T20:39:56.570Z
V0157,Structural Hydraulic Pump Premium,133838.71,133838.71,1,334.0,0.0,500,2026-07-11T20:39:56.570Z
V0066,Mechanical Circuit Breaker Premium,266768.06,88922.68666666666,2,717.0,0.0,500,2026-07-11T20:39:56.570Z
V0072,Fluid Control Panel Premium,3921160.9400000004,560165.8485714287,5,1925.0,2346.66,500,2026-07-11T20:39:56.570Z
V0048,Instrumentation Flow Meter Heavy Duty,49866.93000000001,24933.465000000004,1,100.0,0.0,500,2026-07-11T20:39:56.570Z
V0366,Safety Hydraulic Pump Heavy Duty,67218.95999999999,7468.773333333333,5,1673.0,48.35,500,2026-07-11T20:39:56.570Z
V0135,Safety Pressure Gauge Premium,295317.63,36914.70375,6,1869.0,189.69,500,2026-07-11T20:39:56.570Z
V0131,Electrical Steel Rod Kit,437697.38,218848.69,1,916.0,0.0,500,2026-07-11T20:39:56.570Z
V0246,Electrical Steel Rod Kit,383637.01,76727.402,5,769.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Fluid Conveyor Belt,44383.43,14794.476666666667,3,515.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Safety Transformer Oil Heavy Duty,384363.32999999996,96090.83249999999,3,1315.0,461.24,500,2026-07-11T20:39:56.570Z
V0113,Electrical Steel Rod,364409.28,72881.856,3,1295.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Safety Lubricant Standard,392059.93000000005,49007.49125000001,5,1455.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Mechanical Pressure Gauge Standard,311032.69,77758.1725,2,992.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Instrumentation Circuit Breaker Standard,242784.22,48556.844,5,1089.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Safety Steel Rod Standard,514053.67999999993,128513.41999999998,2,930.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Instrumentation Industrial Paint Heavy Duty,798735.89,66561.32416666667,8,2076.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Electrical Conveyor Belt,495775.43999999994,123943.85999999999,4,1447.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Safety Transformer Oil Kit,342600.32,42825.04,5,1246.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Mechanical Fasteners Premium,530312.14,75758.87714285715,3,982.0,0.0,500,2026-07-11T20:39:56.570Z
V0146,Structural Transformer Oil,51982.99,25991.495,2,639.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Mechanical Electric Motor Standard,371456.75,123818.91666666667,1,966.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Mechanical Flow Meter Premium,738340.4299999999,73834.04299999999,9,2768.0,0.0,500,2026-07-11T20:39:56.570Z
V0366,Structural Bearing Kit,788415.88,71674.17090909091,4,2034.0,0.0,500,2026-07-11T20:39:56.570Z
V0175,Safety Control Panel,119973.81,119973.81,1,177.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Safety Gearbox Premium,606577.3799999999,86653.91142857142,3,1797.0,0.0,500,2026-07-11T20:39:56.570Z
V0366,Instrumentation Industrial Paint Heavy Duty,65339.92,21779.97333333333,2,514.0,0.0,500,2026-07-11T20:39:56.570Z
V0241,Instrumentation Electric Motor Premium,22009.67,11004.835,2,229.0,0.0,500,2026-07-11T20:39:56.570Z
V0027,Safety Hydraulic Pump Heavy Duty,811238.84,115891.26285714285,4,2348.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Mechanical Flow Meter Premium,105289.27,17548.211666666666,4,723.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Instrumentation Fasteners,144898.42,36224.605,4,782.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Electrical Gearbox Premium,1172793.03,146599.12875,4,2765.0,0.0,500,2026-07-11T20:39:56.570Z
V0146,Instrumentation Pneumatic Cylinder Premium,87317.15,43658.575,1,230.0,0.0,500,2026-07-11T20:39:56.570Z
V0255,Mechanical Circuit Breaker Premium,30374.38,30374.38,1,145.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Structural Pvc Pipe Heavy Duty,879767.11,97751.9011111111,6,2666.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Fluid Safety Helmet Premium,8404.59,4202.295,2,447.0,0.0,500,2026-07-11T20:39:56.570Z
V0066,Safety Hydraulic Pump Standard,1001425.72,125178.215,5,2764.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Structural Safety Helmet Heavy Duty,186685.01,186685.01,1,192.0,963.36,500,2026-07-11T20:39:56.570Z
V0066,Structural Bearing,87590.86,87590.86,1,218.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Safety Hydraulic Pump Heavy Duty,586738.11,83819.73,5,2192.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Fluid Safety Helmet Premium,183549.04,91774.52,2,615.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0290,Structural Copper Wire Premium,896526.9400000001,149421.15666666668,4,2186.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Safety Conveyor Belt,954551.3200000001,68182.23714285715,13,3580.0,0.0,500,2026-07-11T20:39:56.570Z
V0072,Mechanical Conveyor Belt,166866.28,83433.14,2,787.0,0.0,500,2026-07-11T20:39:56.570Z
V0017,Structural Pneumatic Cylinder Premium,71941.43,35970.715,2,574.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Instrumentation Hydraulic Pump Premium,781897.9299999999,111699.70428571428,2,1811.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0393,Fluid Flow Meter Kit,177573.79,35514.758,4,1370.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Structural Valves Standard,1184154.04,148019.255,5,3034.0,0.0,500,2026-07-11T20:39:56.570Z
V0230,Fluid Safety Helmet Kit,250849.44999999998,41808.24166666666,4,925.0,0.0,500,2026-07-11T20:39:56.570Z
V0066,Safety Pressure Gauge Kit,298882.0,74720.5,3,900.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Electrical Conveyor Belt Standard,41328.23,20664.115,2,618.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Mechanical Fasteners Heavy Duty,4515702.569999999,752617.0949999999,3,1836.0,3135.19,500,2026-07-11T20:39:56.570Z
V0113,Safety Hydraulic Pump Heavy Duty,77206.58,11029.511428571428,4,1446.0,53.25,500,2026-07-11T20:39:56.570Z
V0464,Fluid Lubricant Standard,334501.17,83625.2925,2,714.0,0.0,500,2026-07-11T20:39:56.570Z
V0317,Electrical Conveyor Belt Heavy Duty,94926.57,94926.57,1,134.0,0.0,500,2026-07-11T20:39:56.570Z
V0072,Mechanical Fasteners Premium,65646.15,32823.075,1,456.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Structural Hydraulic Pump Premium,147951.76,73975.88,2,582.0,0.0,500,2026-07-11T20:39:56.570Z
V0484,Structural Flow Meter Premium,27242.980000000003,13621.490000000002,2,48.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Fluid Bearing Premium,431197.06,86239.412,5,1047.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0393,Electrical Circuit Breaker,364824.33999999997,52117.76285714285,5,950.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Instrumentation Pneumatic Cylinder Premium,222045.27,44409.054,5,1130.0,0.0,500,2026-07-11T20:39:56.570Z
V0324,Safety Steel Rod Standard,9204.87,4602.435,2,327.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Fluid Safety Helmet Premium,34865.3,8716.325,2,80.0,0.0,500,2026-07-11T20:39:56.570Z
V0230,Fluid Safety Helmet Standard,1789567.23,162687.93,7,3241.0,0.0,500,2026-07-11T20:39:56.570Z
V0246,Electrical Steel Rod,417889.19,83577.838,4,818.0,0.0,500,2026-07-11T20:39:56.570Z
V0241,Structural Gearbox Heavy Duty,25885.79,8628.596666666666,3,1076.0,0.0,500,2026-07-11T20:39:56.570Z
V0113,Instrumentation Industrial Paint Heavy Duty,0.0,0.0,1,61.0,3923.22,500,2026-07-11T20:39:56.570Z
V0415,Instrumentation Valves Heavy Duty,4291618.2700000005,858323.6540000001,4,1558.0,3648.93,500,2026-07-11T20:39:56.570Z
V0393,Safety Conveyor Belt Standard,55198.52,13799.63,4,1261.0,134.55,500,2026-07-11T20:39:56.570Z
V0131,Safety Gearbox Premium,74277.86,37138.93,2,641.0,404.79,500,2026-07-11T20:39:56.570Z
V0135,Mechanical Circuit Breaker Heavy Duty,7549773.660000001,943721.7075000001,5,2564.0,3791.57,500,2026-07-11T20:39:56.570Z
V0048,Electrical Conveyor Belt Heavy Duty,0.0,0.0,1,431.0,947.33,500,2026-07-11T20:39:56.570Z
V0246,Structural Copper Wire Standard,3103948.6799999997,387993.58499999996,6,2227.0,2628.25,500,2026-07-11T20:39:56.570Z
V0175,Safety Conveyor Belt,30187.55,15093.775,2,119.0,295.9,500,2026-07-11T20:39:56.570Z
V0157,Safety Transformer Oil Standard,37567.17,12522.39,3,930.0,136.3,500,2026-07-11T20:39:56.570Z
V0465,Electrical Conveyor Belt,0.0,0.0,2,464.0,1870.02,500,2026-07-11T20:39:56.570Z
V0066,Safety Pneumatic Cylinder,21600.84,7200.28,3,595.0,229.14,500,2026-07-11T20:39:56.570Z
V0110,Electrical Conveyor Belt Heavy Duty,1715530.6199999999,285921.76999999996,3,2360.0,1039.54,500,2026-07-11T20:39:56.570Z
V0366,Electrical Steel Rod Kit,0.0,0.0,3,908.0,671.64,500,2026-07-11T20:39:56.570Z
V0217,Safety Transformer Oil Standard,0.0,0.0,3,1275.0,150.56,500,2026-07-11T20:39:56.570Z
V0131,Structural Hydraulic Pump Premium,73228.88,14645.776000000002,4,1617.4046957784994,427.31,500,2026-07-11T20:39:56.570Z
V0317,Structural Pressure Gauge Standard,0.0,0.0,2,698.0,1693.77,500,2026-07-11T20:39:56.570Z
V0393,Electrical Transformer Oil Kit,2799730.76,466621.7933333333,5,1700.0,2042.91,500,2026-07-11T20:39:56.570Z
V0027,Fluid Lubricant Standard,255576.21000000002,63894.052500000005,3,1529.0,249.74,500,2026-07-11T20:39:56.570Z
V0255,Instrumentation Hydraulic Pump Premium,0.0,0.0,1,21.0,3126.29,500,2026-07-11T20:39:56.570Z
V0072,Fluid Steel Rod Standard,0.0,0.0,3,989.0,2016.37,500,2026-07-11T20:39:56.570Z
V0246,Safety Pneumatic Cylinder Kit,110778.21999999999,22155.643999999997,4,902.0,220.51,500,2026-07-11T20:39:56.570Z
V0464,Electrical Transformer Oil Standard,0.0,0.0,1,239.0,0.0,500,2026-07-11T20:39:56.570Z
V0027,Fluid Conveyor Belt Kit,0.0,0.0,2,465.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Structural Bearing Kit,432022.04,61717.434285714284,5,1732.0,0.0,500,2026-07-11T20:39:56.570Z
V0066,Structural Transformer Oil,0.0,0.0,1,358.0,0.0,500,2026-07-11T20:39:56.570Z
V0317,Electrical Lubricant Heavy Duty,41798.39,20899.195,2,360.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0465,Structural Conveyor Belt Standard,0.0,0.0,2,546.0,1730.41,500,2026-07-11T20:39:56.570Z
V0393,Structural Copper Wire Premium,513914.91,102782.98199999999,5,1472.0,2151.07,500,2026-07-11T20:39:56.570Z
V0027,Structural Pvc Pipe Heavy Duty,0.0,0.0,2,916.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Instrumentation Flow Meter Premium,545842.8300000001,60649.20333333334,7,2506.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Instrumentation Bearing,588389.2100000001,117677.84200000002,3,1891.0,0.0,500,2026-07-11T20:39:56.570Z
V0165,Electrical Conveyor Belt Standard,0.0,0.0,1,249.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Safety Pressure Gauge Kit,0.0,0.0,3,549.4046957784994,0.0,500,2026-07-11T20:39:56.570Z
V0135,Fluid Lubricant Standard,474126.35,118531.5875,4,1503.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Safety Transformer Oil Kit,259419.0,37059.857142857145,6,1452.0,0.0,500,2026-07-11T20:39:56.570Z
V0146,Mechanical Pvc Pipe Premium,32726.75,4675.25,4,597.0,0.0,500,2026-07-11T20:39:56.570Z
V0146,Electrical Gearbox Premium,87715.45,29238.483333333334,3,892.0,0.0,500,2026-07-11T20:39:56.570Z
V0113,Fluid Safety Helmet Premium,95158.89,23789.7225,4,1009.0,140.66,500,2026-07-11T20:39:56.570Z
V0324,Safety Pneumatic Cylinder,476234.93999999994,119058.73499999999,2,1285.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Electrical Transformer Oil Kit,779977.7,97497.2125,6,1818.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Electrical Circuit Breaker,55544.04,13886.01,4,845.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Structural Conveyor Belt Premium,282644.03,94214.67666666668,2,1084.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Mechanical Circuit Breaker Premium,674458.75,84307.34375,7,1554.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Structural Bearing,412095.6,206047.8,2,553.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Safety Transformer Oil Kit,595297.75,99216.29166666667,4,1647.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0157,Structural Transformer Oil,130726.73000000001,26145.346,3,975.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Structural Steel Rod Kit,187392.5,46848.125,4,1138.0,0.0,500,2026-07-11T20:39:56.570Z
V0048,Mechanical Pressure Gauge Standard,530491.57,176830.52333333332,2,1277.0,0.0,500,2026-07-11T20:39:56.570Z
V0415,Instrumentation Safety Helmet,9059.88,4529.94,2,589.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Instrumentation Industrial Paint Heavy Duty,0.0,0.0,3,1009.0,0.0,500,2026-07-11T20:39:56.570Z
V0241,Electrical Steel Rod Standard,0.0,0.0,1,471.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Safety Lubricant Kit,353639.93999999994,58939.98999999999,5,1569.0,505.62,500,2026-07-11T20:39:56.570Z
V0131,Structural Gearbox Heavy Duty,168330.54,28055.09,4,731.0,0.0,500,2026-07-11T20:39:56.570Z
V0027,Mechanical Flow Meter Premium,0.0,0.0,1,400.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Instrumentation Flow Meter Heavy Duty,523757.19,130939.2975,3,1236.0,0.0,500,2026-07-11T20:39:56.570Z
V0165,Electrical Pneumatic Cylinder Kit,0.0,0.0,2,578.0,0.0,500,2026-07-11T20:39:56.570Z
V0131,Mechanical Copper Wire Heavy Duty,252676.83000000002,63169.207500000004,3,1340.0,0.0,500,2026-07-11T20:39:56.570Z
V0408,Electrical Pvc Pipe Kit,394439.06000000006,78887.812,3,1838.0,0.0,500,2026-07-11T20:39:56.570Z
V0241,Structural Bearing,76266.75,25422.25,3,956.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0135,Structural Gearbox Heavy Duty,1137798.25,87522.94230769231,9,3259.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Mechanical Fasteners Premium,810962.16,90106.90666666668,7,2320.0,0.0,500,2026-07-11T20:39:56.570Z
V0366,Structural Lubricant,0.0,0.0,1,303.0,0.0,500,2026-07-11T20:39:56.570Z
V0290,Mechanical Circuit Breaker Heavy Duty,170700.45,56900.15,3,706.0,0.0,500,2026-07-11T20:39:56.570Z
V0097,Structural Copper Wire Premium,2634097.86,526819.5719999999,3,1831.0,0.0,500,2026-07-11T20:39:56.570Z
V0324,Instrumentation Bearing Premium,0.0,0.0,3,1105.0,0.0,500,2026-07-11T20:39:56.570Z
V0241,Instrumentation Safety Helmet,134927.53,67463.765,2,599.0,0.0,500,2026-07-11T20:39:56.570Z
V0393,Safety Hydraulic Pump Standard,97974.72,24493.68,4,1027.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Instrumentation Copper Wire Heavy Duty,182950.06,30491.676666666666,5,1059.0,0.0,500,2026-07-11T20:39:56.570Z
V0175,Safety Lubricant Standard,0.0,0.0,1,125.0,0.0,500,2026-07-11T20:39:56.570Z
V0366,Instrumentation Fasteners,136787.03,45595.676666666666,2,644.0,0.0,500,2026-07-11T20:39:56.570Z
V0255,Instrumentation Safety Helmet,115327.47,28831.8675,3,913.0,0.0,500,2026-07-11T20:39:56.570Z
V0464,Instrumentation Safety Helmet,0.0,0.0,3,918.0,0.0,500,2026-07-11T20:39:56.570Z
V0246,Fluid Bearing Premium,278783.18000000005,55756.63600000001,3,984.0,0.0,500,2026-07-11T20:39:56.570Z
V0217,Fluid Lubricant Standard,34773.05,5795.508333333334,5,747.0,0.0,500,2026-07-11T20:39:56.570Z
V0113,Safety Conveyor Belt Standard,291622.59,41660.37,6,845.0,0.0,500,2026-07-11T20:39:56.570Z
V0135,Electrical Copper Wire Premium,410969.04999999993,45663.22777777777,8,1929.2023478892497,0.0,500,2026-07-11T20:39:56.570Z
V0165,Safety Transformer Oil Heavy Duty,203905.02,67968.34,2,1102.0,0.0,500,2026-07-11T20:39:56.570Z
V0255,Structural Flow Meter Premium,0.0,0.0,2,561.0,0.0,500,2026-07-11T20:39:56.570Z
V0113,Safety Conveyor Belt,700436.7200000001,87554.59000000001,4,1926.0,0.0,500,2026-07-11T20:39:56.570Z
V0017,Electrical Steel Rod Kit,0.0,0.0,1,129.0,0.0,500,2026-07-11T20:39:56.570Z
