vendor_id,average_variance_percentage,has_overdue_invoice,vendor_risk,gold_load_timestamp
V0131,-4.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0484,-3.66,1,Medium Risk,2026-07-12T09:07:55.104Z
V0017,-2.67,1,Medium Risk,2026-07-12T09:07:55.104Z
V0465,-1.98,1,Medium Risk,2026-07-12T09:07:55.104Z
V0130,-3.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0475,-3.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0195,-5.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0397,-6.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0362,-4.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0433,-2.73,1,Medium Risk,2026-07-12T09:07:55.104Z
V0126,-3.37,1,Medium Risk,2026-07-12T09:07:55.104Z
V0417,-4.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0163,-4.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0442,-4.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0403,0.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0383,-5.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0427,-1.95,1,Medium Risk,2026-07-12T09:07:55.104Z
V0367,-3.11,1,Medium Risk,2026-07-12T09:07:55.104Z
V0456,-2.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0008,-3.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0416,-3.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0086,-3.92,1,Medium Risk,2026-07-12T09:07:55.104Z
V0285,-5.78,1,Medium Risk,2026-07-12T09:07:55.104Z
V0084,0.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0185,-1.94,1,Medium Risk,2026-07-12T09:07:55.104Z
V0372,-5.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0392,1.68,1,Medium Risk,2026-07-12T09:07:55.104Z
V0445,-3.73,1,Medium Risk,2026-07-12T09:07:55.104Z
V0260,-5.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0087,-6.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0173,-3.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0323,-5.16,1,Medium Risk,2026-07-12T09:07:55.104Z
V0123,-4.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0297,-4.26,1,Medium Risk,2026-07-12T09:07:55.104Z
V0139,-4.38,1,Medium Risk,2026-07-12T09:07:55.104Z
V0188,-2.45,1,Medium Risk,2026-07-12T09:07:55.104Z
V0428,-1.78,1,Medium Risk,2026-07-12T09:07:55.104Z
V0489,-5.58,1,Medium Risk,2026-07-12T09:07:55.104Z
V0431,-6.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0389,-5.45,1,Medium Risk,2026-07-12T09:07:55.104Z
V0313,-4.82,1,Medium Risk,2026-07-12T09:07:55.104Z
V0192,-4.58,1,Medium Risk,2026-07-12T09:07:55.104Z
V0249,-3.47,1,Medium Risk,2026-07-12T09:07:55.104Z
V0368,-4.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0421,-2.41,1,Medium Risk,2026-07-12T09:07:55.104Z
V0091,-3.02,1,Medium Risk,2026-07-12T09:07:55.104Z
V0182,-2.92,1,Medium Risk,2026-07-12T09:07:55.104Z
V0107,-4.65,1,Medium Risk,2026-07-12T09:07:55.104Z
V0409,-4.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0257,-3.73,1,Medium Risk,2026-07-12T09:07:55.104Z
V0451,-5.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0234,-2.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0053,-4.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0303,-7.35,1,Medium Risk,2026-07-12T09:07:55.104Z
V0266,-3.24,1,Medium Risk,2026-07-12T09:07:55.104Z
V0056,-4.11,1,Medium Risk,2026-07-12T09:07:55.104Z
V0003,-6.04,1,Medium Risk,2026-07-12T09:07:55.104Z
V0422,-5.15,1,Medium Risk,2026-07-12T09:07:55.104Z
V0283,-2.95,1,Medium Risk,2026-07-12T09:07:55.104Z
V0060,-4.58,1,Medium Risk,2026-07-12T09:07:55.104Z
V0429,-0.51,1,Medium Risk,2026-07-12T09:07:55.104Z
V0103,-3.44,1,Medium Risk,2026-07-12T09:07:55.104Z
V0369,-4.5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0278,-2.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0375,-1.08,1,Medium Risk,2026-07-12T09:07:55.104Z
V0461,-4.26,1,Medium Risk,2026-07-12T09:07:55.104Z
V0116,-5.7,1,Medium Risk,2026-07-12T09:07:55.104Z
V0184,-2.5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0477,-2.01,1,Medium Risk,2026-07-12T09:07:55.104Z
V0482,-5.3,1,Medium Risk,2026-07-12T09:07:55.104Z
V0395,-2.9,1,Medium Risk,2026-07-12T09:07:55.104Z
V0121,-5.93,1,Medium Risk,2026-07-12T09:07:55.104Z
V0490,-3.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0265,-5.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0061,-6.46,1,Medium Risk,2026-07-12T09:07:55.104Z
V0144,-5.81,1,Medium Risk,2026-07-12T09:07:55.104Z
V0446,-3.41,1,Medium Risk,2026-07-12T09:07:55.104Z
V0186,1.42,1,Medium Risk,2026-07-12T09:07:55.104Z
V0171,-2.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0046,-2.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0039,-3.4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0436,-6.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0468,-4.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0476,-2.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0454,-5.38,1,Medium Risk,2026-07-12T09:07:55.104Z
V0223,-2.08,1,Medium Risk,2026-07-12T09:07:55.104Z
V0495,-3.2,1,Medium Risk,2026-07-12T09:07:55.104Z
V0237,-2.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0026,-4.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0020,-7.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0332,-5.07,1,Medium Risk,2026-07-12T09:07:55.104Z
V0493,-2.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0024,-5.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0183,-2.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0472,-3.57,1,Medium Risk,2026-07-12T09:07:55.104Z
V0268,-3.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0041,-2.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0224,-4.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0098,-1.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0220,-1.77,1,Medium Risk,2026-07-12T09:07:55.104Z
V0045,-5.08,1,Medium Risk,2026-07-12T09:07:55.104Z
V0435,-2.73,1,Medium Risk,2026-07-12T09:07:55.104Z
V0112,-3.57,1,Medium Risk,2026-07-12T09:07:55.104Z
V0030,-6.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0132,-6.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0318,-4.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0497,-5.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0222,-3.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0006,-5.46,1,Medium Risk,2026-07-12T09:07:55.104Z
V0455,-2.94,1,Medium Risk,2026-07-12T09:07:55.104Z
V0085,-3.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0448,-2.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0190,-2.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0108,-3.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0371,-7.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0423,-5.26,1,Medium Risk,2026-07-12T09:07:55.104Z
V0457,-3.37,1,Medium Risk,2026-07-12T09:07:55.104Z
V0274,-4.6,1,Medium Risk,2026-07-12T09:07:55.104Z
V0351,100.4,1,High Risk,2026-07-12T09:07:55.104Z
V0150,-3.09,1,Medium Risk,2026-07-12T09:07:55.104Z
V0494,-7.53,1,Medium Risk,2026-07-12T09:07:55.104Z
V0325,-3.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0307,-3.63,1,Medium Risk,2026-07-12T09:07:55.104Z
V0100,-3.35,1,Medium Risk,2026-07-12T09:07:55.104Z
V0199,-2.21,1,Medium Risk,2026-07-12T09:07:55.104Z
V0094,-4.3,1,Medium Risk,2026-07-12T09:07:55.104Z
V0438,-3.56,1,Medium Risk,2026-07-12T09:07:55.104Z
V0244,-2.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0486,-3.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0011,-2.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0079,-5.44,1,Medium Risk,2026-07-12T09:07:55.104Z
V0242,-4.49,1,Medium Risk,2026-07-12T09:07:55.104Z
V0380,-5.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0252,-2.74,1,Medium Risk,2026-07-12T09:07:55.104Z
V0407,-3.48,1,Medium Risk,2026-07-12T09:07:55.104Z
V0115,-3.62,1,Medium Risk,2026-07-12T09:07:55.104Z
V0055,-2.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0337,-4.2,1,Medium Risk,2026-07-12T09:07:55.104Z
V0279,-2.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0032,-3.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0018,-3.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0031,6.63,1,Medium Risk,2026-07-12T09:07:55.104Z
V0198,-1.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0418,-3.61,1,Medium Risk,2026-07-12T09:07:55.104Z
V0057,-4.45,1,Medium Risk,2026-07-12T09:07:55.104Z
V0122,-3.43,1,Medium Risk,2026-07-12T09:07:55.104Z
V0299,-5.27,1,Medium Risk,2026-07-12T09:07:55.104Z
V0374,-2.89,1,Medium Risk,2026-07-12T09:07:55.104Z
V0292,-7.56,1,Medium Risk,2026-07-12T09:07:55.104Z
V0029,-3.14,1,Medium Risk,2026-07-12T09:07:55.104Z
V0259,-1.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0282,-4.56,1,Medium Risk,2026-07-12T09:07:55.104Z
V0345,-4.53,1,Medium Risk,2026-07-12T09:07:55.104Z
V0404,-2.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0420,-4.99,1,Medium Risk,2026-07-12T09:07:55.104Z
V0329,-5.36,1,Medium Risk,2026-07-12T09:07:55.104Z
V0349,-4.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0270,-3.43,1,Medium Risk,2026-07-12T09:07:55.104Z
V0166,-3.71,1,Medium Risk,2026-07-12T09:07:55.104Z
V0120,-1.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0015,-2.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0176,-5.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0162,-2.73,1,Medium Risk,2026-07-12T09:07:55.104Z
V0159,-17.65,0,Low Risk,2026-07-12T09:07:55.104Z
V0013,-2.99,1,Medium Risk,2026-07-12T09:07:55.104Z
V0206,-5.44,1,Medium Risk,2026-07-12T09:07:55.104Z
V0474,-6.12,1,Medium Risk,2026-07-12T09:07:55.104Z
V0401,-3.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0040,-2.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0275,-3.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0281,-4.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0387,-3.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0218,-5.51,1,Medium Risk,2026-07-12T09:07:55.104Z
V0430,-3.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0153,-1.74,1,Medium Risk,2026-07-12T09:07:55.104Z
V0129,-1.38,1,Medium Risk,2026-07-12T09:07:55.104Z
V0187,-4.65,1,Medium Risk,2026-07-12T09:07:55.104Z
V0012,-4.38,1,Medium Risk,2026-07-12T09:07:55.104Z
V0314,-4.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0243,-3.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0350,-5.09,1,Medium Risk,2026-07-12T09:07:55.104Z
V0280,-5.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0014,-2.75,1,Medium Risk,2026-07-12T09:07:55.104Z
V0033,-4.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0022,-1.27,1,Medium Risk,2026-07-12T09:07:55.104Z
V0479,-2.38,1,Medium Risk,2026-07-12T09:07:55.104Z
V0007,-2.2,1,Medium Risk,2026-07-12T09:07:55.104Z
V0412,-5.26,1,Medium Risk,2026-07-12T09:07:55.104Z
V0413,-4.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0096,-6.18,1,Medium Risk,2026-07-12T09:07:55.104Z
V0384,-2.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0178,-3.4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0373,-7.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0378,-5.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0090,-2.12,1,Medium Risk,2026-07-12T09:07:55.104Z
V0078,-4.51,1,Medium Risk,2026-07-12T09:07:55.104Z
V0269,-4.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0316,-5.61,1,Medium Risk,2026-07-12T09:07:55.104Z
V0054,-4.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0070,-3.77,1,Medium Risk,2026-07-12T09:07:55.104Z
V0452,-2.82,1,Medium Risk,2026-07-12T09:07:55.104Z
V0354,-1,1,Medium Risk,2026-07-12T09:07:55.104Z
V0219,-4.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0406,-6.1,1,Medium Risk,2026-07-12T09:07:55.104Z
V0443,-4.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0424,-5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0114,-2.89,1,Medium Risk,2026-07-12T09:07:55.104Z
V0333,-2.72,1,Medium Risk,2026-07-12T09:07:55.104Z
V0028,-2.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0128,-2.67,1,Medium Risk,2026-07-12T09:07:55.104Z
V0359,-4.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0253,-3.12,1,Medium Risk,2026-07-12T09:07:55.104Z
V0379,-0.82,1,Medium Risk,2026-07-12T09:07:55.104Z
V0181,-4.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0240,-2.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0365,-4.21,1,Medium Risk,2026-07-12T09:07:55.104Z
V0089,-3.93,1,Medium Risk,2026-07-12T09:07:55.104Z
V0019,-3.24,1,Medium Risk,2026-07-12T09:07:55.104Z
V0419,-4.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0488,-3.68,1,Medium Risk,2026-07-12T09:07:55.104Z
V0148,-4.94,1,Medium Risk,2026-07-12T09:07:55.104Z
V0083,-3.98,1,Medium Risk,2026-07-12T09:07:55.104Z
V0124,-4.29,1,Medium Risk,2026-07-12T09:07:55.104Z
V0010,-1.09,1,Medium Risk,2026-07-12T09:07:55.104Z
V0330,-3.39,1,Medium Risk,2026-07-12T09:07:55.104Z
V0049,-1.93,1,Medium Risk,2026-07-12T09:07:55.104Z
V0204,-2.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0258,-6.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0343,-5.57,1,Medium Risk,2026-07-12T09:07:55.104Z
V0127,-2.08,1,Medium Risk,2026-07-12T09:07:55.104Z
V0441,13.6,1,High Risk,2026-07-12T09:07:55.104Z
V0483,9.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0141,-4.11,1,Medium Risk,2026-07-12T09:07:55.104Z
V0197,-4.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0196,-5.89,1,Medium Risk,2026-07-12T09:07:55.104Z
V0001,127.91,1,High Risk,2026-07-12T09:07:55.104Z
V0142,-3.95,1,Medium Risk,2026-07-12T09:07:55.104Z
V0481,-3.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0287,-5.14,1,Medium Risk,2026-07-12T09:07:55.104Z
V0095,-4.5,1,Medium Risk,2026-07-12T09:07:55.104Z
V0077,-2.48,1,Medium Risk,2026-07-12T09:07:55.104Z
V0172,-2.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0069,-4.86,1,Medium Risk,2026-07-12T09:07:55.104Z
V0210,-4.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0334,-4.05,1,Medium Risk,2026-07-12T09:07:55.104Z
V0160,-3.76,1,Medium Risk,2026-07-12T09:07:55.104Z
V0037,-4.63,1,Medium Risk,2026-07-12T09:07:55.104Z
V0136,-6.52,1,Medium Risk,2026-07-12T09:07:55.104Z
V0328,-2.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0025,-5.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0203,-4.42,1,Medium Risk,2026-07-12T09:07:55.104Z
V0016,-4.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0232,-4.77,1,Medium Risk,2026-07-12T09:07:55.104Z
V0059,-0.95,1,Medium Risk,2026-07-12T09:07:55.104Z
V0305,-3.65,1,Medium Risk,2026-07-12T09:07:55.104Z
V0140,-5.59,1,Medium Risk,2026-07-12T09:07:55.104Z
V0170,-2.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0470,-3.7,1,Medium Risk,2026-07-12T09:07:55.104Z
V0158,-2.62,1,Medium Risk,2026-07-12T09:07:55.104Z
V0335,-5.09,1,Medium Risk,2026-07-12T09:07:55.104Z
V0414,-4.15,1,Medium Risk,2026-07-12T09:07:55.104Z
V0439,-4.1,1,Medium Risk,2026-07-12T09:07:55.104Z
V0075,-5.97,1,Medium Risk,2026-07-12T09:07:55.104Z
V0463,-6.68,1,Medium Risk,2026-07-12T09:07:55.104Z
V0118,-6,1,Medium Risk,2026-07-12T09:07:55.104Z
V0081,-3.71,1,Medium Risk,2026-07-12T09:07:55.104Z
V0080,-4.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0226,-4.57,1,Medium Risk,2026-07-12T09:07:55.104Z
V0453,-4.99,1,Medium Risk,2026-07-12T09:07:55.104Z
V0390,-7.87,1,Medium Risk,2026-07-12T09:07:55.104Z
V0308,-9.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0064,-3.71,1,Medium Risk,2026-07-12T09:07:55.104Z
V0225,-3.73,1,Medium Risk,2026-07-12T09:07:55.104Z
V0410,-4.81,1,Medium Risk,2026-07-12T09:07:55.104Z
V0398,-6.75,1,Medium Risk,2026-07-12T09:07:55.104Z
V0315,-3.26,1,Medium Risk,2026-07-12T09:07:55.104Z
V0473,-4.29,1,Medium Risk,2026-07-12T09:07:55.104Z
V0221,-5.51,1,Medium Risk,2026-07-12T09:07:55.104Z
V0377,3.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0499,-4.4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0004,22.81,1,High Risk,2026-07-12T09:07:55.104Z
V0348,-7.29,1,Medium Risk,2026-07-12T09:07:55.104Z
V0154,-4.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0370,-5.31,1,Medium Risk,2026-07-12T09:07:55.104Z
V0005,-4.49,1,Medium Risk,2026-07-12T09:07:55.104Z
V0458,-4.12,1,Medium Risk,2026-07-12T09:07:55.104Z
V0462,-7.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0296,0.02,1,Medium Risk,2026-07-12T09:07:55.104Z
V0491,-3.4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0250,-4.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0405,-3.54,1,Medium Risk,2026-07-12T09:07:55.104Z
V0215,-2.14,1,Medium Risk,2026-07-12T09:07:55.104Z
V0036,-4.32,1,Medium Risk,2026-07-12T09:07:55.104Z
V0321,-5.49,1,Medium Risk,2026-07-12T09:07:55.104Z
V0239,-4.6,1,Medium Risk,2026-07-12T09:07:55.104Z
V0306,-4.63,1,Medium Risk,2026-07-12T09:07:55.104Z
V0399,-4.84,1,Medium Risk,2026-07-12T09:07:55.104Z
V0212,-4.43,1,Medium Risk,2026-07-12T09:07:55.104Z
V0104,-5.22,1,Medium Risk,2026-07-12T09:07:55.104Z
V0346,-4.64,1,Medium Risk,2026-07-12T09:07:55.104Z
V0496,-3.81,1,Medium Risk,2026-07-12T09:07:55.104Z
V0347,-2.69,1,Medium Risk,2026-07-12T09:07:55.104Z
V0021,-4.8,1,Medium Risk,2026-07-12T09:07:55.104Z
V0322,-2.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0092,-6.43,1,Medium Risk,2026-07-12T09:07:55.104Z
V0169,-3.21,1,Medium Risk,2026-07-12T09:07:55.104Z
V0449,-4.34,1,Medium Risk,2026-07-12T09:07:55.104Z
V0358,-4.23,1,Medium Risk,2026-07-12T09:07:55.104Z
V0180,-2.79,1,Medium Risk,2026-07-12T09:07:55.104Z
V0388,-5.86,1,Medium Risk,2026-07-12T09:07:55.104Z
V0125,-4.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0043,-7.33,1,Medium Risk,2026-07-12T09:07:55.104Z
V0138,-7.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0342,-5.2,1,Medium Risk,2026-07-12T09:07:55.104Z
V0151,-7.25,1,Medium Risk,2026-07-12T09:07:55.104Z
V0440,-5.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0467,-4.46,1,Medium Risk,2026-07-12T09:07:55.104Z
V0478,-3.83,1,Medium Risk,2026-07-12T09:07:55.104Z
V0047,-4.91,1,Medium Risk,2026-07-12T09:07:55.104Z
V0202,-5.35,1,Medium Risk,2026-07-12T09:07:55.104Z
V0068,-4.94,1,Medium Risk,2026-07-12T09:07:55.104Z
V0471,-6.22,1,Medium Risk,2026-07-12T09:07:55.104Z
V0361,-7.56,1,Medium Risk,2026-07-12T09:07:55.104Z
V0485,-4.28,1,Medium Risk,2026-07-12T09:07:55.104Z
V0284,-3.45,1,Medium Risk,2026-07-12T09:07:55.104Z
V0363,-3.65,1,Medium Risk,2026-07-12T09:07:55.104Z
V0111,-3.58,1,Medium Risk,2026-07-12T09:07:55.104Z
V0271,-3.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0336,-3.39,1,Medium Risk,2026-07-12T09:07:55.104Z
V0149,-4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0038,-4.17,1,Medium Risk,2026-07-12T09:07:55.104Z
V0109,-2.44,1,Medium Risk,2026-07-12T09:07:55.104Z
V0205,-4.55,1,Medium Risk,2026-07-12T09:07:55.104Z
V0376,-3.13,1,Medium Risk,2026-07-12T09:07:55.104Z
V0052,-2.71,1,Medium Risk,2026-07-12T09:07:55.104Z
V0411,-4.81,1,Medium Risk,2026-07-12T09:07:55.104Z
V0326,-3.78,1,Medium Risk,2026-07-12T09:07:55.104Z
V0320,-4.12,1,Medium Risk,2026-07-12T09:07:55.104Z
V0117,-4.07,1,Medium Risk,2026-07-12T09:07:55.104Z
V0058,-4.4,1,Medium Risk,2026-07-12T09:07:55.104Z
V0200,-3.97,1,Medium Risk,2026-07-12T09:07:55.104Z
V0167,-3.36,1,Medium Risk,2026-07-12T09:07:55.104Z
V0400,-2.8,1,Medium Risk,2026-07-12T09:07:55.104Z
V0177,-3.03,1,Medium Risk,2026-07-12T09:07:55.104Z
V0302,-4.58,1,Medium Risk,2026-07-12T09:07:55.104Z
V0071,-3.19,1,Medium Risk,2026-07-12T09:07:55.104Z
V0101,-2.97,1,Medium Risk,2026-07-12T09:07:55.104Z
V0227,-4.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0500,-4.85,1,Medium Risk,2026-07-12T09:07:55.104Z
V0034,-3.66,1,Medium Risk,2026-07-12T09:07:55.104Z
V0293,-3.06,1,Medium Risk,2026-07-12T09:07:55.104Z
V0353,-5.27,1,Medium Risk,2026-07-12T09:07:55.104Z
V0459,-3.93,1,Medium Risk,2026-07-12T09:07:55.104Z
V0261,-0.78,1,Medium Risk,2026-07-12T09:07:55.104Z
V0002,-4.75,1,Medium Risk,2026-07-12T09:07:55.104Z
V0352,-6.78,1,Medium Risk,2026-07-12T09:07:55.104Z
V0340,-4.42,1,Medium Risk,2026-07-12T09:07:55.104Z
V0262,-3.48,1,Medium Risk,2026-07-12T09:07:55.104Z
V0327,7.29,1,Medium Risk,2026-07-12T09:07:55.104Z
V0065,-1.94,1,Medium Risk,2026-07-12T09:07:55.104Z
V0444,-2.96,1,Medium Risk,2026-07-12T09:07:55.104Z
V0050,-2.44,1,Medium Risk,2026-07-12T09:07:55.104Z
V0267,-1.48,1,Medium Risk,2026-07-12T09:07:55.104Z
V0298,-3.86,1,Medium Risk,2026-07-12T09:07:55.104Z
V0386,-5.92,1,Medium Risk,2026-07-12T09:07:55.104Z
V0152,-2.86,1,Medium Risk,2026-07-12T09:07:55.104Z
V0164,-3.8,1,Medium Risk,2026-07-12T09:07:55.104Z
V0251,-1.83,1,Medium Risk,2026-07-12T09:07:55.104Z
V0291,-3.88,1,Medium Risk,2026-07-12T09:07:55.104Z
V0357,-5.94,1,Medium Risk,2026-07-12T09:07:55.104Z
V0106,-3.43,1,Medium Risk,2026-07-12T09:07:55.104Z
