vendor_id,po_id,item_name,quantity,contract_price,actual_amount,expected_amount,variance,variance_percentage,price_status,gold_load_timestamp
V0249,PO003572,Electrical Lubricant Heavy Duty,236.0,2322.52,540149.87,548114.72,-7964.849999999977,-1.45,Undercharged,2026-07-12T08:48:38.325Z
V0177,PO003742,Fluid Lubricant Standard,92.0,285.15,26658.72,26233.8,424.9200000000019,1.62,Overcharged,2026-07-12T08:48:38.325Z
V0192,PO003770,Safety Transformer Oil Kit,97.0,525.48,51955.73,50971.560000000005,984.1699999999983,1.93,Overcharged,2026-07-12T08:48:38.325Z
V0242,PO003810,Structural Transformer Oil,437.0,578.55,248733.72,252826.34999999998,-4092.6299999999756,-1.62,Undercharged,2026-07-12T08:48:38.325Z
V0171,PO004004,Safety Pneumatic Cylinder Kit,438.0,221.98,96086.22,97227.23999999999,-1141.0199999999895,-1.17,Undercharged,2026-07-12T08:48:38.325Z
V0249,PO004341,Fluid Pneumatic Cylinder,351.0,2133.76,746953.03,748949.7600000001,-1996.7300000000978,-0.27,Undercharged,2026-07-12T08:48:38.325Z
V0368,PO004433,Safety Steel Rod Standard,49.0,169.32,8937.47,8296.68,640.789999999999,7.72,Overcharged,2026-07-12T08:48:38.325Z
V0421,PO004444,Instrumentation Valves Heavy Duty,258.0,3597.0,944686.87,928026.0,16660.869999999995,1.8,Overcharged,2026-07-12T08:48:38.325Z
V0328,PO004479,Fluid Safety Helmet Standard,251.2023478892497,579.32,131625.72,145526.54417920014,-13900.824179200135,-9.55,Undercharged,2026-07-12T08:48:38.325Z
V0204,PO004713,Instrumentation Pneumatic Cylinder Premium,491.0,562.58,275550.61,276226.78,-676.1700000000419,-0.24,Undercharged,2026-07-12T08:48:38.325Z
V0475,PO005081,Structural Pvc Pipe Heavy Duty,488.0,810.55,391819.35,395548.39999999997,-3729.0499999999884,-0.94,Undercharged,2026-07-12T08:48:38.325Z
V0315,PO005101,Mechanical Copper Wire Heavy Duty,54.0,3382.07,181453.79,182631.78,-1177.9899999999907,-0.65,Undercharged,2026-07-12T08:48:38.325Z
V0021,PO005251,Electrical Conveyor Belt,286.0,1736.52,492091.23,496644.72,-4553.489999999991,-0.92,Undercharged,2026-07-12T08:48:38.325Z
V0236,PO005378,Electrical Lubricant Heavy Duty,96.0,2408.2,233608.79,231187.19999999998,2421.5900000000256,1.05,Overcharged,2026-07-12T08:48:38.325Z
V0380,PO005434,Structural Safety Helmet Heavy Duty,8.0,992.26,8031.76,7938.08,93.68000000000029,1.18,Overcharged,2026-07-12T08:48:38.325Z
V0401,PO005681,Structural Pressure Gauge Standard,65.0,1582.35,104232.3,102852.75,1379.550000000003,1.34,Overcharged,2026-07-12T08:48:38.325Z
V0195,PO005917,Instrumentation Safety Helmet,157.0,1266.64,201851.99,198862.48,2989.50999999998,1.5,Overcharged,2026-07-12T08:48:38.325Z
V0025,PO006108,Electrical Bearing Heavy Duty,214.0,1680.26,363591.46,359575.64,4015.820000000007,1.12,Overcharged,2026-07-12T08:48:38.325Z
V0248,PO006161,Safety Steel Rod Standard,300.0,185.54,55502.12,55662.0,-159.87999999999738,-0.29,Undercharged,2026-07-12T08:48:38.325Z
V0091,PO006284,Safety Gearbox Premium,33.0,396.08,13034.67,13070.64,-35.969999999999345,-0.28,Undercharged,2026-07-12T08:48:38.325Z
V0248,PO006646,Safety Steel Rod Standard,491.0,185.54,90676.3,91100.14,-423.8399999999965,-0.47,Undercharged,2026-07-12T08:48:38.325Z
V0263,PO006788,Fluid Bearing Premium,315.0,906.79,288375.69,285638.85,2736.8400000000256,0.96,Overcharged,2026-07-12T08:48:38.325Z
V0238,PO006942,Instrumentation Bearing Premium,230.0,2818.86,657566.72,648337.8,9228.919999999925,1.42,Overcharged,2026-07-12T08:48:38.325Z
V0186,PO007019,Instrumentation Copper Wire Heavy Duty,5.0,825.28,108101.16,4126.4,103974.76000000001,2519.75,Overcharged,2026-07-12T08:48:38.325Z
V0035,PO007075,Mechanical Electric Motor Premium,78.0,979.87,77545.08,76429.86,1115.2200000000012,1.46,Overcharged,2026-07-12T08:48:38.325Z
V0040,PO007164,Structural Hydraulic Pump Premium,305.0,443.72,135076.78,135334.6,-257.820000000007,-0.19,Undercharged,2026-07-12T08:48:38.325Z
V0295,PO007264,Mechanical Circuit Breaker Premium,341.0,2870.96,972404.24,978997.36,-6593.119999999995,-0.67,Undercharged,2026-07-12T08:48:38.325Z
V0302,PO007266,Safety Transformer Oil Premium,329.0,141.13,46913.54,46431.77,481.7700000000041,1.04,Overcharged,2026-07-12T08:48:38.325Z
V0252,PO007900,Instrumentation Copper Wire Heavy Duty,38.0,816.33,31063.53,31020.54,42.98999999999796,0.14,Overcharged,2026-07-12T08:48:38.325Z
V0397,PO008084,Instrumentation Flow Meter Kit,252.0,3880.18,981300.78,977805.36,3495.420000000042,0.36,Overcharged,2026-07-12T08:48:38.325Z
V0035,PO008088,Electrical Steel Rod Standard,73.0,1470.82,106126.85,107369.86,-1243.0099999999948,-1.16,Undercharged,2026-07-12T08:48:38.325Z
V0113,PO008165,Safety Pressure Gauge Premium,287.0,190.38,54125.53,54639.06,-513.5299999999988,-0.94,Undercharged,2026-07-12T08:48:38.325Z
V0175,PO008187,Safety Control Panel Heavy Duty,35.0,445.93,15458.14,15607.550000000001,-149.41000000000167,-0.96,Undercharged,2026-07-12T08:48:38.325Z
V0473,PO008201,Fluid Conveyor Belt,274.0,1959.86,533054.5,537001.64,-3947.140000000014,-0.74,Undercharged,2026-07-12T08:48:38.325Z
V0049,PO008403,Instrumentation Copper Wire Heavy Duty,307.0,780.64,240774.93,239656.47999999998,1118.4500000000116,0.47,Overcharged,2026-07-12T08:48:38.325Z
V0322,PO008430,Safety Welding Rod Kit,455.0,312.57,142318.4,142219.35,99.04999999998836,0.07,Overcharged,2026-07-12T08:48:38.325Z
V0373,PO008499,Electrical Pvc Pipe Kit,338.0,2094.03,108101.16,707782.14,-599680.98,-84.73,Undercharged,2026-07-12T08:48:38.325Z
V0249,PO008554,Mechanical Flow Meter Premium,301.0,2408.12,737656.21,724844.12,12812.089999999967,1.77,Overcharged,2026-07-12T08:48:38.325Z
V0469,PO008625,Electrical Circuit Breaker,93.0,1804.3,186660.4,167799.9,18860.5,11.24,Overcharged,2026-07-12T08:48:38.325Z
V0275,PO008680,Structural Transformer Oil,261.0,576.95,151682.53,150583.95,1098.5799999999872,0.73,Overcharged,2026-07-12T08:48:38.325Z
V0145,PO008820,Instrumentation Valves Heavy Duty,126.0,3129.91,393211.44,394368.66,-1157.219999999972,-0.29,Undercharged,2026-07-12T08:48:38.325Z
V0407,PO008926,Fluid Safety Helmet Standard,58.0,655.22,37382.48,38002.76,-620.2799999999988,-1.63,Undercharged,2026-07-12T08:48:38.325Z
V0391,PO009021,Structural Lubricant,388.0,3391.51,1304949.08,1315905.8800000001,-10956.800000000047,-0.83,Undercharged,2026-07-12T08:48:38.325Z
V0356,PO009206,Instrumentation Pneumatic Cylinder Premium,16.0,621.58,11552.56,9945.28,1607.2799999999988,16.16,Overcharged,2026-07-12T08:48:38.325Z
V0046,PO009413,Fluid Steel Rod Standard,438.0,2015.25,899433.48,882679.5,16753.97999999998,1.9,Overcharged,2026-07-12T08:48:38.325Z
V0112,PO009508,Fluid Conveyor Belt Kit,244.0,1307.41,325353.2,319008.04000000004,6345.159999999974,1.99,Overcharged,2026-07-12T08:48:38.325Z
V0115,PO009614,Structural Hydraulic Pump Premium,128.0,479.89,60679.89,61425.92,-746.0299999999988,-1.21,Undercharged,2026-07-12T08:48:38.325Z
V0378,PO009633,Safety Control Panel Kit,294.0,259.81,76889.87,76384.14,505.7299999999959,0.66,Overcharged,2026-07-12T08:48:38.325Z
V0090,PO009670,Mechanical Fasteners Heavy Duty,365.0,3240.63,1081794.92,1182829.95,-101035.03000000003,-8.54,Undercharged,2026-07-12T08:48:38.325Z
V0182,PO009708,Safety Welding Rod Kit,379.0,302.18,114756.68,114526.22,230.45999999999185,0.2,Overcharged,2026-07-12T08:48:38.325Z
V0030,PO009762,Electrical Transformer Oil Kit,49.0,2203.56,106095.01,107974.44,-1879.4300000000076,-1.74,Undercharged,2026-07-12T08:48:38.325Z
V0177,PO009839,Structural Transformer Oil Kit,233.0,2880.48,671569.87,671151.84,418.03000000002794,0.06,Overcharged,2026-07-12T08:48:38.325Z
V0281,PO009855,Mechanical Flow Meter Premium,315.0,2199.38,702030.07,692804.7000000001,9225.369999999879,1.33,Overcharged,2026-07-12T08:48:38.325Z
V0132,PO010071,Safety Pneumatic Cylinder,238.0,221.56,52945.54,52731.28,214.26000000000204,0.41,Overcharged,2026-07-12T08:48:38.325Z
V0009,PO010324,Mechanical Safety Helmet Standard,283.0,2411.21,693807.81,682372.43,11435.380000000005,1.68,Overcharged,2026-07-12T08:48:38.325Z
V0221,PO010447,Instrumentation Pneumatic Cylinder Premium,136.0,602.74,83561.22,81972.64,1588.5800000000017,1.94,Overcharged,2026-07-12T08:48:38.325Z
V0487,PO010489,Instrumentation Circuit Breaker Standard,442.0,2193.43,984778.85,969496.0599999999,15282.790000000037,1.58,Overcharged,2026-07-12T08:48:38.325Z
V0097,PO010811,Structural Bearing Kit,158.0,1524.81,237229.13,240919.97999999998,-3690.8499999999767,-1.53,Undercharged,2026-07-12T08:48:38.325Z
V0387,PO010879,Structural Bearing,251.2023478892497,1897.16,854666.15,476571.04632156895,378095.10367843107,79.34,Overcharged,2026-07-12T08:48:38.325Z
V0071,PO010968,Fluid Steel Rod Standard,192.0,1927.03,369408.61,369989.76,-581.1500000000233,-0.16,Undercharged,2026-07-12T08:48:38.325Z
V0092,PO010972,Mechanical Pvc Pipe Premium,82.0,1407.23,116575.19,115392.86,1182.3300000000017,1.02,Overcharged,2026-07-12T08:48:38.325Z
V0192,PO011468,Instrumentation Steel Rod,224.0,3100.07,682137.28,694415.68,-12278.400000000023,-1.77,Undercharged,2026-07-12T08:48:38.325Z
V0039,PO011592,Safety Conveyor Belt Standard,421.0,129.92,53831.19,54696.31999999999,-865.1299999999901,-1.58,Undercharged,2026-07-12T08:48:38.325Z
V0341,PO011656,Mechanical Copper Wire Heavy Duty,323.0,3698.7,1179115.6,1194680.0999999999,-15564.499999999767,-1.3,Undercharged,2026-07-12T08:48:38.325Z
V0055,PO011771,Mechanical Safety Helmet Standard,435.0,2492.06,1097110.85,1084046.0999999999,13064.750000000233,1.21,Overcharged,2026-07-12T08:48:38.325Z
V0209,PO012053,Instrumentation Electric Motor Premium,283.0,2588.67,746725.59,732593.61,14131.979999999981,1.93,Overcharged,2026-07-12T08:48:38.325Z
V0112,PO012171,Fluid Bearing Premium,191.0,871.18,172053.47,166395.38,5658.0899999999965,3.4,Overcharged,2026-07-12T08:48:38.325Z
V0247,PO012225,Electrical Pneumatic Cylinder Kit,259.0,274.27,71996.47,71035.93,960.5400000000081,1.35,Overcharged,2026-07-12T08:48:38.325Z
V0169,PO012606,Safety Control Panel Kit,42.0,224.66,9315.38,9435.72,-120.34000000000015,-1.28,Undercharged,2026-07-12T08:48:38.325Z
V0436,PO012870,Mechanical Electric Motor Premium,15.0,909.76,13666.65,13646.4,20.25,0.15,Overcharged,2026-07-12T08:48:38.325Z
V0468,PO013604,Fluid Steel Rod Standard,187.0,2185.48,406497.11,408684.76,-2187.6500000000233,-0.54,Undercharged,2026-07-12T08:48:38.325Z
V0337,PO013684,Safety Steel Rod Standard,234.0,186.02,44333.19,43528.68,804.510000000002,1.85,Overcharged,2026-07-12T08:48:38.325Z
V0228,PO013803,Safety Steel Rod Standard,41.0,190.54,7700.05,7812.139999999999,-112.08999999999924,-1.43,Undercharged,2026-07-12T08:48:38.325Z
V0449,PO013832,Electrical Steel Rod,138.0,912.89,126444.54,125978.81999999999,465.72000000000116,0.37,Overcharged,2026-07-12T08:48:38.325Z
V0107,PO013848,Electrical Steel Rod Standard,488.0,1390.13,673603.13,678383.4400000001,-4780.310000000056,-0.7,Undercharged,2026-07-12T08:48:38.325Z
V0279,PO013883,Electrical Transformer Oil Kit,57.0,2179.55,124188.07,124234.35,-46.279999999998836,-0.04,Undercharged,2026-07-12T08:48:38.325Z
V0377,PO014048,Safety Control Panel Kit,251.2023478892497,226.94,79862.24,57007.860829986326,22854.37917001368,40.09,Overcharged,2026-07-12T08:48:38.325Z
V0078,PO014277,Structural Bearing Kit,229.0,1551.65,360628.46,355327.85000000003,5300.609999999986,1.49,Overcharged,2026-07-12T08:48:38.325Z
V0218,PO014934,Safety Transformer Oil Premium,227.0,135.22,34022.85,30694.94,3327.91,10.84,Overcharged,2026-07-12T08:48:38.325Z
V0101,PO015035,Fluid Lubricant Standard,151.0,249.28,38354.26,37641.28,712.9800000000032,1.89,Overcharged,2026-07-12T08:48:38.325Z
V0341,PO015061,Safety Pressure Gauge Premium,375.0,183.58,68973.22,68842.5,130.72000000000116,0.19,Overcharged,2026-07-12T08:48:38.325Z
V0366,PO015217,Electrical Conveyor Belt,297.0,1895.61,555372.01,562996.1699999999,-7624.159999999916,-1.35,Undercharged,2026-07-12T08:48:38.325Z
V0130,PO015755,Safety Control Panel,302.0,255.91,77633.48,77284.81999999999,348.6600000000035,0.45,Overcharged,2026-07-12T08:48:38.325Z
V0269,PO015868,Mechanical Flow Meter Premium,459.0,2567.39,1162947.64,1178432.01,-15484.370000000112,-1.31,Undercharged,2026-07-12T08:48:38.325Z
V0203,PO016004,Mechanical Fasteners Premium,201.0,3633.58,734229.61,730349.58,3880.030000000028,0.53,Overcharged,2026-07-12T08:48:38.325Z
V0269,PO016177,Instrumentation Transformer Oil Kit,346.0,1913.28,659985.6,661994.88,-2009.280000000028,-0.3,Undercharged,2026-07-12T08:48:38.325Z
V0409,PO016251,Safety Lubricant Standard,164.0,473.39,76610.93,77635.95999999999,-1025.0299999999988,-1.32,Undercharged,2026-07-12T08:48:38.325Z
V0362,PO016632,Mechanical Pressure Gauge Standard,296.0,3122.3,896301.01,924200.8,-27899.790000000037,-3.02,Undercharged,2026-07-12T08:48:38.325Z
V0358,PO016701,Safety Transformer Oil Heavy Duty,269.0,538.04,163421.67,144732.75999999998,18688.910000000033,12.91,Overcharged,2026-07-12T08:48:38.325Z
V0433,PO017160,Electrical Gearbox Kit,219.0,1765.71,384964.21,386690.49,-1726.2799999999697,-0.45,Undercharged,2026-07-12T08:48:38.325Z
V0387,PO017228,Instrumentation Transformer Oil Kit,216.0,2050.1,450018.32,442821.6,7196.72000000003,1.63,Overcharged,2026-07-12T08:48:38.325Z
V0227,PO017408,Structural Transformer Oil,275.0,632.23,204953.71,173863.25,31090.459999999992,17.88,Overcharged,2026-07-12T08:48:38.325Z
V0360,PO017462,Fluid Control Panel Premium,399.0,2227.11,895907.98,888616.89,7291.089999999967,0.82,Overcharged,2026-07-12T08:48:38.325Z
V0480,PO017528,Safety Hydraulic Pump Heavy Duty,22.0,53.71,1197.09,1181.6200000000001,15.4699999999998,1.31,Overcharged,2026-07-12T08:48:38.325Z
V0430,PO017549,Safety Lubricant Standard,33.0,446.95,14708.66,14749.35,-40.69000000000051,-0.28,Undercharged,2026-07-12T08:48:38.325Z
V0016,PO017602,Electrical Pneumatic Cylinder Kit,400.0,254.22,102211.41,101688.0,523.4100000000035,0.51,Overcharged,2026-07-12T08:48:38.325Z
V0182,PO017623,Electrical Steel Rod,189.0,903.16,187986.29,170697.24,17289.050000000017,10.13,Overcharged,2026-07-12T08:48:38.325Z
V0032,PO017738,Safety Lubricant Kit,109.0,491.25,52520.99,53546.25,-1025.260000000002,-1.91,Undercharged,2026-07-12T08:48:38.325Z
V0168,PO018077,Structural Valves Standard,476.0,3342.67,1595103.75,1591110.92,3992.8300000000745,0.25,Overcharged,2026-07-12T08:48:38.325Z
V0318,PO018162,Structural Conveyor Belt Premium,293.0,383.88,113497.46,112476.84,1020.6200000000099,0.91,Overcharged,2026-07-12T08:48:38.325Z
V0246,PO018172,Structural Valves Standard,304.0,3325.52,1018431.97,1010958.08,7473.890000000014,0.74,Overcharged,2026-07-12T08:48:38.325Z
V0316,PO018541,Electrical Circuit Breaker,286.0,1630.01,471398.78,466182.86,5215.920000000042,1.12,Overcharged,2026-07-12T08:48:38.325Z
V0258,PO018900,Fluid Conveyor Belt,34.0,2068.13,79040.29,70316.42,8723.869999999995,12.41,Overcharged,2026-07-12T08:48:38.325Z
V0078,PO018947,Electrical Steel Rod Standard,289.0,1465.42,429033.29,423506.38,5526.909999999974,1.31,Overcharged,2026-07-12T08:48:38.325Z
V0126,PO019121,Fluid Safety Helmet Kit,487.0,1657.21,800905.75,807061.27,-6155.520000000019,-0.76,Undercharged,2026-07-12T08:48:38.325Z
V0257,PO019225,Safety Welding Rod Kit,86.0,301.71,26356.54,25947.059999999998,409.4800000000032,1.58,Overcharged,2026-07-12T08:48:38.325Z
V0221,PO019335,Structural Steel Rod Kit,228.0,1585.84,356582.15,361571.51999999996,-4989.369999999937,-1.38,Undercharged,2026-07-12T08:48:38.325Z
V0246,PO019405,Electrical Gearbox Premium,209.0,1138.01,236665.48,237844.09,-1178.609999999986,-0.5,Undercharged,2026-07-12T08:48:38.325Z
V0018,PO019423,Safety Transformer Oil Premium,370.0,132.89,55444.97,49169.299999999996,6275.6700000000055,12.76,Overcharged,2026-07-12T08:48:38.325Z
V0417,PO019564,Electrical Steel Rod,404.0,854.0,339689.91,345016.0,-5326.090000000026,-1.54,Undercharged,2026-07-12T08:48:38.325Z
V0256,PO019676,Mechanical Flow Meter Premium,290.0,2377.42,781328.18,689451.8,91876.38,13.33,Overcharged,2026-07-12T08:48:38.325Z
V0232,PO019694,Structural Conveyor Belt Premium,361.0,406.14,146475.64,146616.54,-140.89999999999418,-0.1,Undercharged,2026-07-12T08:48:38.325Z
V0499,PO019719,Fluid Safety Helmet Standard,487.0,599.19,286439.57,291805.53,-5365.960000000021,-1.84,Undercharged,2026-07-12T08:48:38.325Z
V0130,PO019726,Structural Steel Rod Kit,11.0,1447.67,16021.12,15924.37,96.75,0.61,Overcharged,2026-07-12T08:48:38.325Z
V0054,PO019811,Instrumentation Safety Helmet,142.0,1338.65,224054.85,190088.30000000002,33966.54999999999,17.87,Overcharged,2026-07-12T08:48:38.325Z
V0040,PO019883,Electrical Conveyor Belt,289.0,1675.78,487015.75,484300.42,2715.3300000000163,0.56,Overcharged,2026-07-12T08:48:38.325Z
V0013,PO019925,Mechanical Electric Motor Standard,137.0,2096.54,328301.46,287225.98,41075.48000000004,14.3,Overcharged,2026-07-12T08:48:38.325Z
V0500,PO020223,Fluid Safety Helmet Kit,433.0,1628.65,715925.09,705205.4500000001,10719.639999999898,1.52,Overcharged,2026-07-12T08:48:38.325Z
V0346,PO020383,Safety Welding Rod Kit,342.0,284.82,97557.37,97408.44,148.92999999999302,0.15,Overcharged,2026-07-12T08:48:38.325Z
V0378,PO020535,Instrumentation Bearing,78.0,2954.02,234390.42,230413.56,3976.860000000015,1.73,Overcharged,2026-07-12T08:48:38.325Z
V0290,PO020786,Electrical Pvc Pipe Kit,28.0,1972.56,56304.09,55231.68,1072.4099999999962,1.94,Overcharged,2026-07-12T08:48:38.325Z
V0366,PO020792,Safety Gearbox Premium,251.2023478892497,404.18,168199.76,101530.96496987695,66668.79503012306,65.66,Overcharged,2026-07-12T08:48:38.325Z
V0466,PO020793,Safety Control Panel Kit,253.0,255.3,64227.79,64590.9,-363.1100000000006,-0.56,Undercharged,2026-07-12T08:48:38.325Z
V0343,PO020939,Fluid Safety Helmet Standard,398.0,594.23,240997.3,236503.54,4493.75999999998,1.9,Overcharged,2026-07-12T08:48:38.325Z
V0451,PO021228,Safety Pneumatic Cylinder,394.0,256.31,96188.88,100986.14,-4797.259999999995,-4.75,Undercharged,2026-07-12T08:48:38.325Z
V0290,PO021236,Electrical Transformer Oil Kit,481.0,1926.14,931006.33,926473.3400000001,4532.989999999874,0.49,Overcharged,2026-07-12T08:48:38.325Z
V0004,PO021904,Fluid Lubricant Standard,206.0,256.32,53329.79,52801.92,527.8700000000026,1.0,Overcharged,2026-07-12T08:48:38.325Z
V0180,PO021997,Mechanical Flow Meter Premium,228.0,2469.06,565848.58,562945.6799999999,2902.9000000000233,0.52,Overcharged,2026-07-12T08:48:38.325Z
V0153,PO022053,Structural Conveyor Belt Standard,161.0,1814.1,262040.15,292070.1,-30029.949999999983,-10.28,Undercharged,2026-07-12T08:48:38.325Z
V0209,PO022165,Instrumentation Copper Wire,121.0,3724.14,458404.52,450620.94,7783.580000000016,1.73,Overcharged,2026-07-12T08:48:38.325Z
V0072,PO022189,Safety Pneumatic Cylinder Kit,417.0,224.7,94549.49,93699.9,849.5900000000111,0.91,Overcharged,2026-07-12T08:48:38.325Z
V0358,PO022372,Safety Gearbox Premium,96.0,370.44,35919.71,35562.24,357.47000000000116,1.01,Overcharged,2026-07-12T08:48:38.325Z
V0400,PO022816,Safety Lubricant Standard,425.0,447.28,192395.0,190094.0,2301.0,1.21,Overcharged,2026-07-12T08:48:38.325Z
V0460,PO022871,Instrumentation Pneumatic Cylinder Premium,364.0,606.72,218506.81,220846.08000000002,-2339.2700000000186,-1.06,Undercharged,2026-07-12T08:48:38.325Z
V0388,PO023096,Fluid Pneumatic Cylinder,1.0,2084.83,2045.85,2084.83,-38.98000000000002,-1.87,Undercharged,2026-07-12T08:48:38.325Z
V0499,PO023282,Safety Transformer Oil Premium,9.0,146.63,1303.85,1319.67,-15.820000000000164,-1.2,Undercharged,2026-07-12T08:48:38.325Z
V0125,PO023460,Mechanical Welding Rod Heavy Duty,251.2023478892497,802.73,123574.6,201647.66072113742,-78073.06072113742,-38.72,Undercharged,2026-07-12T08:48:38.325Z
V0475,PO023827,Safety Flow Meter Kit,375.0,346.88,131557.07,130080.0,1477.070000000007,1.14,Overcharged,2026-07-12T08:48:38.325Z
V0315,PO023837,Safety Pressure Gauge Premium,182.0,176.91,32687.69,32197.62,490.0699999999997,1.52,Overcharged,2026-07-12T08:48:38.325Z
V0112,PO024079,Mechanical Electric Motor Premium,448.0,949.9,408378.45,425555.2,-17176.75,-4.04,Undercharged,2026-07-12T08:48:38.325Z
V0295,PO024100,Structural Steel Rod Kit,199.0,1517.87,298647.84,302056.13,-3408.289999999979,-1.13,Undercharged,2026-07-12T08:48:38.325Z
V0396,PO024504,Structural Hydraulic Pump Premium,372.0,453.96,166702.51,168873.12,-2170.609999999986,-1.29,Undercharged,2026-07-12T08:48:38.325Z
V0497,PO024532,Fluid Control Panel Premium,500.0,2194.0,1081283.91,1097000.0,-15716.090000000084,-1.43,Undercharged,2026-07-12T08:48:38.325Z
V0127,PO024812,Mechanical Safety Helmet Standard,240.0,2761.89,668456.36,662853.6,5602.760000000009,0.85,Overcharged,2026-07-12T08:48:38.325Z
V0129,PO024918,Instrumentation Valves Heavy Duty,179.0,3311.06,583811.71,592679.74,-8868.030000000028,-1.5,Undercharged,2026-07-12T08:48:38.325Z
V0163,PO025040,Instrumentation Safety Helmet,348.0,1346.9,466141.75,468721.2,-2579.4500000000116,-0.55,Undercharged,2026-07-12T08:48:38.325Z
V0132,PO025041,Instrumentation Valves Heavy Duty,14.0,3337.06,47320.85,46718.84,602.010000000002,1.29,Overcharged,2026-07-12T08:48:38.325Z
