invoice_id,po_id,vendor_id,invoiced_amount,invoice_date,payment_status
INV000105,PO048191,V0348,92548.6,2025-02-13,Pending
INV000106,PO005259,V0127,1493727.47,2025-02-09,Paid
INV000107,PO087539,V0335,94784.64,2025-10-10,Paid
INV000108,PO039505,V0418,49254.84,2022-02-03,Pending
INV000109,PO033160,V0424,115171.54,2025-10-13,Paid
INV000110,PO013987,V0376,181746.91,2023-06-24,Paid
INV000111,PO061859,V0484,65407.63,2023-07-22,Pending
INV000112,PO012667,V0130,79920.17,2022-03-27,Paid
INV000113,PO038661,V0130,161363.32,2024-11-20,Paid
INV000114,PO003562,V0072,81455.17,2023-05-05,Paid
INV000115,PO026855,V0477,989979.39,2022-02-04,Paid
INV000116,PO064506,V0251,602550.56,2022-12-21,Overdue
INV000117,PO052252,V0400,47027.03,2025-03-11,Paid
INV000118,PO022663,V0225,15923.74,2025-04-17,Paid
INV000119,PO008393,V0361,16264.06,2024-09-10,Overdue
INV000120,PO030536,V0061,145565.32,2023-08-16,Paid
INV000121,PO078604,V0401,49390.84,2024-04-20,Overdue
INV000122,PO052257,V0393,254320.8,2022-08-13,Paid
INV000123,PO089136,V0109,102894.1,2024-11-18,Paid
INV000124,PO035223,V0155,153943.48,2024-06-21,Paid
INV000125,PO077374,V0485,164101.73,2024-10-03,Paid
INV000126,PO079576,V0464,69394.88,2025-05-06,Pending
INV000127,PO096355,V0304,44522.92,2024-10-24,Paid
INV000128,PO084652,V0064,35297.67,2022-10-01,Paid
INV000129,PO063336,V0277,131119.02,2024-08-21,Paid
INV000130,PO010966,V0135,1091658.29,2025-06-04,Pending
INV000131,PO024539,V0149,53330.89,2025-04-02,Paid
INV000132,PO070593,V0380,994054.59,2024-06-08,Overdue
INV000133,PO098019,V0274,29467.53,2022-09-15,Overdue
INV000134,PO008111,V0184,211892.81,2025-10-13,Overdue
INV000135,PO079310,V0006,150967.76,2022-07-08,Pending
INV000136,PO027267,V0003,46309.1,2022-09-01,Paid
INV000137,PO052993,V0426,189975.62,2024-11-08,Pending
INV000138,PO082949, V0190 ,57968.16,2023-06-16,Paid
INV000139,PO098807,V0475,3300.67,2025-12-06,Paid
INV000140,PO006911,V0051,349092.45,2022-11-11,Paid
INV000141,PO090983,V0288,4649.18,2025-10-18,Paid
INV000142,PO000207,V0360,79300.62,2025-08-18,Paid
INV000143,PO087055,V0053,127178.66,2022-12-26,Overdue
INV000144,PO087898,V0476,82373.89,2022-02-24,Paid
INV000145,PO023420,V0147,62819.24,2024-03-26,Overdue
INV000146,PO050637,V0305,245673.74,2024-10-23,Overdue
INV000147,PO050016,V0378,91750.31,2022-12-08,Paid
INV000148,PO054269,V0476,287865.85,2024-12-27,Paid
INV000149,PO087940,V0456,8441.1,2023-09-25,Pending
INV000150,PO018142,V0017,148670.05,2024-12-05,Paid
INV000151,PO080357,V0006,150180.55,2022-03-09,Overdue
INV000152,PO071911,V0335,140596.24,2023-01-27,Overdue
INV000153,PO056045,V0478,59668.74,2025-09-22,Paid
INV000154,PO067215,V0190,244098.0,2024-07-22,Paid
INV000155,PO033828,V0234,663334.77,2024-02-15,Paid
INV000156,PO055821,V0042,143927.22,2024-02-26,Paid
INV000157,PO062624,V0419,263626.1,2024-99-99,Pending
INV000158,PO081735,V0289,23308.59,2025-05-25,Paid
INV000159,PO075451,V0208,,2023-03-19,Paid
INV000160,PO093427,V0088,108443.16,2022-03-02,Paid
INV000161,PO022300,V0403,45985.9,2025-05-14,Paid
INV000162,PO043586,V0095,198955.81,2025-07-31,Paid
INV000163,PO064045,V0154,54248.93,2025-08-08,Overdue
INV000164,PO042558,V0167,404634.82,2025-06-30,Paid
INV000165,,V0068,752897.84,2025-01-15,Paid
INV000166,PO002694,V0412,51927.65,2022-07-02,Paid
INV000167,PO095004,V0141,1216611.82,2023-12-06,Paid
INV000168,PO095260,V0473,62019.03,2026-02-04,Paid
INV000169,PO069164,V0006,1479541.79,2025-07-27,Paid
INV000170,PO025940,V0153,110597.19,2025-01-11,Paid
INV000171,PO048926,V0192,82614.11,2023-11-22,Paid
INV000172,PO042942,V0001,249391.3,2023-04-19,Paid
INV000173,PO021835,V0153,152131.88,2023-06-15,Overdue
INV000174,PO018048,V0123,6884.71,2025-01-10,Overdue
INV000175,PO026106,V0034,1143601.89,2025-09-25,Paid
INV000176,,V0316,186273.5,2022-06-28,Paid
INV000177,PO015708,V0282,70049.76,2023-04-29,Paid
INV000178,PO021977,V0130,79.99,2022-03-08,Overdue
INV000179,PO044263,V0073,133877.09,2025-12-24,Paid
INV000180,PO023777, V0362 ,4740.24,2024-03-12,Paid
INV000181,PO030081,V0425,,2024-12-10,Pending
INV000182,PO066843,V0473,493234.97,2024-10-18,Pending
INV000183,PO061374,V0451,1192310.02,2023-10-08,Paid
INV000184,PO006777,V0113,1115262.26,2023-04-04,Paid
INV000185,PO092788,V0344,16946.77,2024-12-26,Paid
INV000186,PO055017,V0484,191528.01,2022-10-20,Paid
INV000187,PO009475,V0235,16368.35,2024-06-20,Paid
INV000188,PO058054,V0174,18750.58,2023-05-28,Paid
INV000189,PO021960,V0285,845313.26,2024-04-22,Pending
INV000190,PO005531,V0209,45906.21,2024-03-03,Paid
INV000191,PO094857,V0189,82079.02,2022-07-19,Paid
INV000192,PO003749,V0123,229979.52,2024-02-18,Paid
INV000193,PO097505,V0340,19378.93,2024-01-26,Paid
INV000194,PO098099,V0221,2065915.88,9999-99-99,Paid
INV000195,PO013546,V0246,595016.52,2022-02-13,Paid
INV000196,PO066200,V0036,8915.34,2026-01-03,Overdue
INV000197,PO034767,V0313,1397232.31,2024-12-07,Overdue
INV000198,PO073531,V0413,135033.69,2022-03-29,Pending
INV000199,PO093558,V0466,1224144.89,2023-08-29,Pending
INV000200,PO061088,V0486,528286.11,2023-05-01,Pending
INV000201,PO095840,V0181,132088.01,2024-04-05,Paid
INV000202,PO068841,V0252,122332.22,2024-04-05,Paid
INV000203,PO054385,V0411,93714.19,2024-04-23,Paid
INV000204,PO051006,V0433,8496.67,2024-01-03,Pending
INV000205,PO046577,V0407,282566.78,2023-11-03,Paid
INV000206,PO039354,V0250,609704.75,2025-10-03,Paid
INV000207,PO062004,V0035,409920.27,2022-12-06,Paid
INV000208,PO083212,V0359,26958.03,2025-11-05,Paid
INV000209,PO052734,V0470,131882.89,2023-11-07,Paid
INV000210,PO065319,V0471,65637.21,2025-03-21,Pending
INV000211,PO089475,V0136,174802.88,2023-11-11,Paid
INV000212,PO023665,V0084,99568.29,2023-07-23,Paid
INV000213,PO067173,V0082,9532.18,2022-09-14,Pending
INV000214,PO085617,V0396,515138.55,2024-02-26,Overdue
INV000215,PO093265,V0081,301149.58,2023-07-18,Pending
INV000216,PO026737,V0411,133089.7,2023-08-07,Paid
INV000217,PO094210,V0319,277993.81,2025-10-19,Paid
INV000218,PO000855,V0424,32229.19,2023-01-10,Paid
INV000219,PO090085,V0201,203242.0,2023-05-06,Paid
INV000220,PO038624,V0183,42899.31,2023-12-03,Paid
INV000221,PO007393,V0464,34264.27,2022-04-14,Paid
INV000222,PO055681,V0220,-233405.57,2024-01-24,Pending
INV000223,PO046718,V0469,2824.84,2025-05-24,Paid
INV000224,PO087093,,47526.77,2023-01-06,Paid
INV000225,PO050860,V0380,197055.22,2024-04-12,Pending
INV000226,PO026310,V0032,35247.04,2022-08-21,Pending
INV000227,PO087456,V0468,75548.63,2023-04-24,Paid
INV000228,PO063735,V0324,625275.84,2023-01-11,Overdue
INV000229,PO070468,V0283,30891.29,2022-08-10,Pending
INV000230,PO052663,V0236,137085.84,2022-11-14,Paid
INV000231,PO098507,V0090,168368.24,2024-06-30,Paid
INV000232,PO012689,V0091,6953.34,2024-02-12,Pending
INV000233,PO025343,V0500,121326.48,2024-02-28,Paid
INV000234,PO037158, V0042 ,303600.09,2022-09-20,Pending
INV000235,PO067864,V0446,173261.19,2023-04-05,Pending
INV000236,PO052084,V0082,258745.78,2024-11-05,Pending
INV000237,PO065734,V0204,21262.95,2024-12-26,Paid
INV000238,PO089046,V0221,84993.66,2023-10-14,Paid
INV000239,PO034699,V0280,89133.65,2023-03-09,Pending
INV000240,PO080624,V0346,8523.66,2025-03-09,Paid
INV000241,PO022672,V0163,636380.66,2024-04-02,Paid
INV000242,PO025185,V0334,1597.16,2022-03-07,Paid
INV000243,PO093385,V0453,119152.5,2025-12-05,Overdue
INV000244,PO042108,V0039,30963.23,2024-03-11,Paid
INV000245,PO086203,V0292,36238.82,2025-03-17,Paid
INV000246,PO051664,V0034,433594.54,2025-04-27,Paid
INV000247,PO015709,V0422,24990.94,2023-04-02,Paid
INV000248,PO091907,V0126,,2025-08-08,Paid
INV000249,PO049812,V0223,301296.78,2022-02-14,Pending
INV000250,PO002812,V0208,176295.11,2023-12-24,Pending
INV000251,PO056251,V0500,17474.9,2023-12-10,Paid
INV000252,PO072083, V0154 ,29678.32,2024-03-02,Paid
INV000253,PO034755,V0466,56572.01,2022-05-25,Paid
INV000254,PO095743,V0088,112176.53,2024-04-26,Paid
INV000255,PO011412,V0331,70900.01,2024-06-29,Paid
INV000256,PO002912,V0491,158609.48,2023-05-11,Paid
INV000257,PO067271,V0016,52435.49,2023-06-11,Paid
INV000258,PO083764,V0013,33208.57,2025-11-24,Pending
INV000259,PO008681,V0395,152038.98,2023-06-12,Paid
INV000260,PO084897,V0341,155718.29,2025-01-06,Paid
INV000261,PO083880,V0271,126075.45,2023-05-27,Pending
INV000262,PO071296,,1034371.33,2022-09-24,Paid
INV000263,PO088615,V0127,1115283.45,2025-09-13,Paid
INV000264,PO011112,V0387,237642.94,2024-01-28,Overdue
INV000265,PO037505,V0223,108073.94,2022-02-16,Paid
INV000266,PO001803,V0495,20329.46,2023-06-02,Paid
INV000267,PO008156,V0209,78627.15,2023-03-20,Pending
INV000268,PO073657,V0026,26587.04,2024-02-02,Paid
INV000269,PO039385,V0026,194501.4,2023-04-11,Paid
INV000270,PO047255,,43070.94,2024-04-27,Overdue
INV000271,PO021919,V0424,28000.23,2022-07-12,Paid
INV000272,PO085982,V0181,95642.58,2023-01-25,Paid
INV000273,PO060714,V0163,161634.32,2022-08-29,Paid
INV000274,PO030307,V0244,137411.2,2022-08-12,Overdue
INV000275,PO016647,V0416,242935.57,2024-03-02,Paid
INV000276,PO046844,V0001,25396.48,2022-05-30,Paid
INV000277,PO096602,,57056.5,2025-07-09,Paid
INV000278,PO090736,V0361,2005838.23,2022-10-13,Paid
INV000279,PO016372,V0238,20786.0,2022-05-21,Paid
INV000280,PO077372,V0353,70778.87,2026-01-27,Pending
INV000281,PO002050,V0037,19232.44,2024-10-03,Paid
INV000282,PO031617,V0100,127916.89,2024-11-29,Paid
INV000283,PO020933,V0464,105390.08,2022-10-29,Paid
INV000284,PO029856,V0365,233796.13,2025-12-31,Paid
INV000285,PO061435,V0404,148663.27,2025-07-07,Paid
INV000286,PO072695,V0460,191044.13,2023-09-06,Pending
INV000287,PO043017,V0234,955245.84,2022-11-18,Paid
INV000288,PO007401,V0012,24269.78,2023-03-28,Paid
INV000289,PO042643,V0081,,2025-01-16,Paid
INV000290,PO015152,V0108,638548.26,2023-01-25,Paid
INV000291,PO051408,V0066,230638.37,2022-05-03,Overdue
INV000292,PO066691,V0096,65783.08,2024-03-26,Paid
INV000293,PO004500,V0027,55218.54,2024-04-16,Paid
INV000294,PO006296,V0101,100718.74,2025-04-20,Pending
INV000295,PO059041,V0283,310409.86,2024-06-17,Paid
INV000296,PO012184,V0468,-122188.73,2025-08-06,Paid
INV000297,PO029300,V0413,108382.03,2024-02-11,Paid
INV000298,PO012875,V0378,92149.14,2022-11-26,Pending
INV000299,PO032712,V0020,270182.51,2023-09-14,Paid
INV000300,PO005540,V0451,73690.63,2023-04-09,Pending
INV000301,PO053352,V0244,9970.35,2023-01-20,Paid
INV000302,PO061268,V0171,139216.54,2024-07-15,Pending
INV000303,PO048355,V0112,164709.96,2025-10-30,Overdue
INV000304,PO002558,V0387,151710.83,2024-11-29,Pending
INV000305,PO038361,V0491,76350.87,2023-03-10,Pending
INV000306,PO082019,V0340,21047.91,2025-02-06,Paid
INV000307,PO002201,V0378,1250.16,2025-10-02,Pending
INV000308,PO068498, V0229 ,130118.08,2024-10-04,Overdue
INV000309,PO046976,V0263,24916.96,2025-11-17,Pending
INV000310,PO021358,V0399,76625.97,2025-06-30,Paid
INV000311,PO077506,V0304,21272.26,2023-05-17,Overdue
INV000312,PO002870,V0244,1137236.45,2024-04-16,Pending
INV000313,PO061136,V0457,11744.58,2025-11-19,Paid
INV000314,PO050109,V0351,27447.66,2023-12-06,Paid
INV000315,PO094180,V0126,132263.39,2023-11-12,Paid
INV000316,PO090273,V0011,190403.76,2025-09-28,Paid
INV000317,PO038468,V0228,26891.29,2022-03-14,Paid
INV000318,PO023329,V0199,,2022-07-09,Pending
INV000319,PO091413,V0407,40381.01,2023-12-21,Overdue
INV000320,PO086832,V0348,53271.13,2023-11-30,Pending
INV000321,PO003988,V0299,103303.51,2025-02-26,Paid
INV000322,PO058872,V0186,212105.31,2023-12-18,Paid
INV000323,PO022400,V0050,98523.95,2026-02-03,Paid
INV000324,PO046215,V0009,90698.6,2024-10-27,Pending
INV000325,PO099523,V0335,818185.54,2025-05-05,Paid
INV000326,PO086417,V0040,,2023-06-20,Pending
INV000327,PO070272,V0325,24002.01,2025-11-22,Paid
INV000328,PO044065,V0413,39839.62,2024-01-17,Paid
INV000329,PO070092,V0435,24917.31,2026-02-08,Paid
INV000330,PO040819, V0485 ,1316560.35,2026-01-08,Paid
INV000331,PO045526,V0042,141842.6,2022-07-28,Overdue
INV000332,PO019831,V0487,355250.05,2023-01-28,Paid
INV000333,PO017430,V0181,138988.03,2023-02-25,Paid
INV000334,PO006894,,14241.19,2025-02-15,Pending
INV000335,PO079910,V0180,40101.4,2023-11-26,Paid
INV000336,PO047334,V0112,12959.68,2022-04-26,Pending
INV000337,PO003437,V0144,21862.36,2025-06-27,Overdue
INV000338,PO074291,V0041,102924.04,2025-12-05,Paid
INV000339,PO076214,V0443,989821.78,2024-08-25,Paid
INV000340,PO005896,V0271,,2024-04-01,Paid
INV000341,PO019739,V0482,,2024-02-13,Pending
INV000342,PO030747,V0412,57368.61,2025-04-08,Paid
INV000343,PO049378,V0420,187990.29,2024-04-23,Paid
INV000344,PO048405,V0307,36182.98,2022-08-15,Paid
INV000345,PO054046,V0448,1054154.81,2025-03-15,Pending
INV000346,PO097889,V0217,517.41,2022-12-02,Overdue
INV000347,PO039791,V0337,3685.1,2022-10-30,Overdue
INV000348,PO005601,V0046,62537.83,2025-04-30,Paid
INV000349,PO094661,V0007,203869.22,2023-04-01,Paid
INV000350,PO093180,V0239,232583.26,2022-10-01,Paid
INV000351,PO040765,V0469,105915.43,2023-08-25,Paid
INV000352,PO074544,V0435,298625.49,2024-07-09,Paid
INV000353,PO045715,V0252,610.91,2025-03-31,Paid
INV000354,PO056836,V0419,,2022-10-06,Paid
INV000355,PO073745,V0461,253134.87,2023-12-22,Paid
INV000356,PO056492,V0192,19839.98,2025-12-06,Paid
INV000357,PO018590, V0198 ,128583.79,2024-03-04,Pending
INV000358,PO043485,V0364,183371.36,2024-05-11,Paid
INV000359,PO082990,V0072,60021.66,2025-03-07,Paid
INV000360,PO036213,V0111,46646.73,2023-09-25,Paid
INV000361,PO043526,V0431,60009.31,2025-09-10,Paid
INV000362,PO047203,V0382,24554.7,2022-03-05,Paid
INV000363,PO032636,V0155,100133.08,2024-02-22,Pending
INV000364,PO063209,V0387,78904.94,2024-04-24,Overdue
INV000365,PO033829,V0368,44938.61,2023-01-27,Overdue
INV000366,PO018712,V0250,131700.55,2023-09-02,Paid
INV000367,PO003421,V0407,172014.11,2023-08-21,Paid
INV000368,PO096753,V0486,1230596.01,2022-08-14,Paid
INV000369,PO000302,V0003,29231.46,2022-07-13,Paid
INV000370,PO045237,V0251,250879.49,2025-10-19,Paid
INV000371,PO066236,V0134,91349.67,2022-12-16,Paid
INV000372,PO054241,V0255,63549.8,2024-11-01,Paid
INV000373,PO065727,V0203,19039.6,2024-11-10,Paid
INV000374,PO010493,V0020,41360.24,2024-10-05,Paid
INV000375,PO006103,V0056,96113.34,2024-06-20,Paid
INV000376,PO050337,V0264,864685.88,2025-10-06,Paid
INV000377,PO085315,V0318,49894.11,2022-03-07,Paid
INV000378,PO026642,V0180,429646.13,2022-09-13,Paid
INV000379,PO034585,V0124,185303.07,2024-10-31,Paid
INV000380,PO032746,V0109,,2023-12-11,Paid
INV000381,PO023094,V0434,159583.82,2023-02-04,Paid
INV000382,PO066106,V0126,178305.81,2024-10-30,Paid
INV000383,PO051886,V0459,31152.65,2024-02-06,Overdue
INV000384,PO036632,V0231,73497.64,2023-01-23,Paid
INV000385,PO072992,V0329,73918.46,2025-09-16,Paid
INV000386,PO004015,V0469,268331.5,2022-09-09,Pending
INV000387,PO011094,V0053,277861.57,2024-01-01,Paid
INV000388,PO018071,V0492,170777.39,2023-06-26,Paid
INV000389,PO035778,V0082,96136.89,2023-09-20,Paid
INV000390,PO056959,V0109,36245.36,2022-03-26,Pending
INV000391,PO082075,V0161,58033.88,2023-11-27,Overdue
INV000392,PO010730,V0277,100027.64,2024-04-13,Paid
INV000393,PO099714,V0003,176398.76,2025-04-12,Paid
INV000394,PO045018,V0341,46088.93,2025-03-13,Paid
INV000395,PO066321,V0415,547274.79,2023-07-31,Paid
INV000396,PO027752,V0249,230467.89,2024-04-18,Paid
INV000397,PO078070, V0232 ,4319.54,2023-06-23,Paid
INV000398,PO054749,V0113,275643.92,2022-08-04,Paid
INV000399,PO005802,V0199,131433.62,2023-07-14,Paid
INV000400,PO019191,V0002,49870.92,2024-09-25,Paid
INV000401,PO049690,V0204,151702.05,2024-04-13,Paid
INV000402,PO050994,V0127,61466.64,2025-11-06,Paid
INV000403,PO029593,,208354.72,2023-06-08,Paid
INV000404,PO010648,V0125,297615.63,2025-05-23,Paid
INV000405,PO008717,V0497,120028.13,2025-04-22,Paid
INV000406,PO088892,V0091,204157.36,2025-06-02,Paid
INV000407,PO087546,V0240,9765.67,2025-02-08,Paid
INV000408,PO089913,V0109,271602.74,2022-02-14,Paid
INV000409,PO070317, V0154 ,-108431.05,2022-01-26,Pending
INV000410,PO002369,V0445,482163.95,9999-99-99,Paid
INV000411,PO077576,V0500,109139.7,2022-12-03,Paid
INV000412,PO006656,V0227,181177.53,2022-10-12,Overdue
INV000413,PO070032,V0485,227430.02,2024-02-25,Pending
INV000414,PO076430,V0290,236667.54,2022-09-22,Overdue
INV000415,PO091084,V0158,39908.44,2023-09-24,Paid
INV000416,PO087923,V0056,83763.6,2022-03-28,Paid
INV000417,PO055767,V0242,72993.19,2024-05-02,Paid
INV000418,PO013404,V0415,262362.0,2023-12-23,Pending
INV000419,PO032098,V0112,79924.8,2023-07-31,Paid
INV000420,PO078658,V0099,38599.35,2025-08-28,Pending
INV000421,PO010967,V0126,,2023-05-28,Paid
INV000422,PO099158,V0050,213197.11,2022-05-06,Pending
INV000423,PO093849,V0233,556201.74,2024-10-02,Paid
INV000424,PO052922,V0259,,2022-06-05,Pending
INV000425,PO049727,V0309,194388.1,2025-10-15,Pending
INV000426,,V0280,20950.41,2023-08-09,Pending
INV000427,PO022678,V0153,322952.72,2024-12-25,Paid
INV000428,PO055610,V0444,28509.35,2023-07-07,Paid
INV000429,PO096826,V0123,188345.63,2024-04-24,Paid
INV000430,PO056662,V0005,48053.16,2024-12-28,Paid
INV000431,PO031025,V0391,17519.39,2024-07-03,Paid
INV000432,PO070314,V0328,6851.62,2022-06-10,Paid
INV000433,PO053007,V0278,426311.43,2022-03-22,Pending
INV000434,PO095286,V0452,80525.36,2025-11-16,Paid
INV000435,PO015339,V0350,38324.07,2025-08-30,Paid
INV000436,PO068028,V0035,45811.42,2022-11-21,Paid
INV000437,PO092773,V0052,21663.45,2024-06-18,Paid
INV000438,PO080136,V0341,231188.35,2023-06-06,Paid
INV000439,PO019509,V0298,423018.58,2022-09-19,Paid
INV000440,PO003052,V0289,310148.57,2025-07-05,Paid
INV000441,PO048748,V0126,148794.7,2024-05-11,Pending
INV000442,PO087143,V0479,244211.51,2025-11-26,Pending
INV000443,PO087236,V0499,41806.86,2022-01-23,Paid
INV000444,PO054022,V0492,121748.3,2023-03-06,Paid
INV000445,PO066413,V0150,222278.27,2026-01-24,Overdue
INV000446,PO058336,V0209,28564.65,2022-09-11,Pending
INV000447,PO056180,V0499,,2023-10-31,Paid
INV000448,PO032094,V0181,54727.84,2022-10-24,Pending
INV000449,PO069679,V0040,141533.89,2023-05-08,Pending
INV000450,PO080739,V0494,2993.08,2024-04-01,Paid
INV000451,PO039735,V0315,13116.11,2022-07-16,Paid
INV000452,PO072616,V0168,158406.59,2024-03-04,Paid
INV000453,PO073524,V0451,67147.5,2024-06-16,Overdue
INV000454,PO094477,V0446,255019.68,2023-07-17,Paid
INV000455,PO017020,V0029,248997.22,2023-01-16,Paid
INV000456,PO083614,V0130,18411.58,2022-10-23,Paid
INV000457,PO091795,V0080,95875.63,2022-02-12,Overdue
INV000458,PO086673,V0191,282617.86,2022-02-04,Pending
INV000459,PO073848,V0458,22710.52,2025-09-23,Paid
INV000460,PO082751,V0059,205785.04,2022-06-28,Paid
INV000461,PO079635,V0249,18078.28,2025-09-16,Paid
INV000462,PO028252,V0117,53586.92,2023-01-04,Paid
INV000463,PO025946,V0402,125006.27,2022-07-04,Paid
INV000464,PO090853,V0449,445364.78,2022-09-07,Overdue
