contract_id,vendor_id,item_name,category,contract_price,payment_terms,effective_date,ingestion_timestamp,load_date,pipeline_run_id,source_file
CON000029,V0372,Structural Hydraulic Pump Premium,Structural,463.18,Net30,2022-02-17,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000030,V0199,Instrumentation Transformer Oil Kit,Instrumentation,1978.28,Net60,2022-04-22,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000031,V0383,Structural Copper Wire Standard,Structural,2774.71,Net30,2021-08-23,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000032,V0466,Fluid Control Panel Premium,Fluid,2120.47,Net30,2023-04-11,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000033,V0030,Instrumentation Copper Wire,Instrumentation,3971.03,Net60,2024-11-16,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000034,V0004,Structural Copper Wire Premium,Structural,2109.26,Net30,2024-07-02,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000035,V0440,Structural Safety Helmet Heavy Duty,Structural,1051.56,Net45,2024-04-15,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000036,V0439,Electrical Copper Wire Premium,Electrical,1202.54,Net45,2023-06-13,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000037,V0239,Electrical Steel Rod Kit,Electrical,608.28,Net45,2024-09-17,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000038,null,Fluid Safety Helmet Standard,Fluid,628.93,Net45,2021-04-19,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000039,V0471,Mechanical PVC Pipe Premium,Mechanical,1322.0,Net15,2021-05-31,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000040,V0382,Structural Flow Meter Premium,Structural,1721.65,Net15,2022-09-24,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000041,V0081,Electrical Lubricant Heavy Duty,Electrical,2634.25,Net60,2023-08-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000042,V0061,Mechanical Pressure Gauge Premium,Mechanical,3303.67,Net45,2022-08-25,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000043,V0492,Structural Bearing Kit,Structural,1560.38,Net45,2023-01-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000044,V0086,Mechanical PVC Pipe Premium,Mechanical,1287.48,Net15,2023-03-15,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000045,V0440,Safety Conveyor Belt Standard,Safety,144.68,Net45,2024-02-09,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000046,V0017,Mechanical Flow Meter,Mechanical,4047.99,Net60,2024-03-09,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000047,null,Structural Hydraulic Pump Premium,Structural,417.91,Net60,2023-03-25,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000048,V0394,Instrumentation Industrial Paint Heavy Duty,Instrumentation,3647.04,Net30,2022-12-04,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000049,V0107,Mechanical Safety Helmet Standard,Mechanical,2564.43,Net30,2023-07-01,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000050,V0160,Structural Bearing Kit,Structural,1621.47,Net45,2022-03-08,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000051,V0472,Electrical Gearbox Premium,Electrical,1143.29,Net15,2021-12-09,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000052,V0329,Safety Welding Rod Kit,Safety,315.53,Net30,2023-11-01,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000053,V0191,Structural Safety Helmet Heavy Duty,Structural,944.93,Net15,2024-05-27,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000054,V0326,Instrumentation Transformer Oil Kit,Instrumentation,2136.7,Net60,2023-06-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000055,V0452,Safety Transformer Oil Kit,Safety,463.99,Net60,2021-09-08,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000056,V0277,Mechanical Pressure Gauge Premium,Mechanical,3290.27,Net45,2022-05-03,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000057,V0251,Electrical Safety Helmet Kit,Electrical,1599.4,Net60,2022-05-16,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000058,V0045,Electrical Steel Rod Standard,Electrical,1538.58,Net60,2022-10-22,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000059,V0196,Structural Conveyor Belt Premium,Structural,399.04,Net15,2023-06-16,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000060,V0273,Safety Lubricant Standard,Safety,457.76,Net30,2021-06-10,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000061,V0180,Fluid Pneumatic Cylinder,Fluid,1991.44,Net15,2021-12-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000062,V0189,Instrumentation Bearing Premium,Instrumentation,2848.14,Net15,2021-01-18,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000063,V0120,Structural Pressure Gauge Standard,Structural,1590.37,Net15,2022-10-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000064,V0427,Electrical Steel Rod Kit,Electrical,666.9,Net60,2021-01-31,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000065,V0359,Safety Control Panel Kit,Safety,261.32,Net60,2022-03-01,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000066,V0496,Fluid Safety Helmet Kit,Fluid,1580.46,Net45,2023-01-02,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000067,V0135,Safety Hydraulic Pump Heavy Duty,Safety,54.63,Net30,2022-02-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000068,V0005,Fluid Safety Helmet Premium,Fluid,136.67,Net15,2021-05-08,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000069,V0113,Structural Bearing,Structural,1721.42,Net15,2023-06-26,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000070,V0390,Safety Transformer Oil Premium,Safety,129.95,Net30,2021-03-10,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000071,V0035,Fluid Safety Helmet Premium,Fluid,124.01,Net60,2023-07-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000072,V0092,Safety Steel Rod Standard,Safety,185.49,Net60,2021-08-02,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000073,V0367,Safety Gearbox Premium,Safety,398.06,Net45,2022-01-28,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000074,V0092,Instrumentation Hydraulic Pump Premium,Instrumentation,3225.02,Net60,2021-10-20,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000075,V0202,Mechanical Pressure Gauge Standard,Mechanical,3020.75,Net45,2024-04-05,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000076,V0480,Electrical Lubricant Heavy Duty,Electrical,2285.01,Net30,2022-03-01,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000077,V0424,Instrumentation Valves Heavy Duty,Instrumentation,3178.69,Net30,2022-11-05,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000078,V0142,Safety Transformer Oil Heavy Duty,Safety,531.18,Net60,2023-12-01,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000079,V0226,Safety Conveyor Belt,Safety,280.62,Net15,2022-10-31,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000080,V0007,Electrical Conveyor Belt Standard,Electrical,1377.15,Net45,2023-05-13,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000081,V0339,Structural Lubricant,Structural,3633.69,Net45,2022-09-18,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000082,V0198,Mechanical Fasteners Heavy Duty,Mechanical,2945.56,Net60,2022-05-28,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000083,V0342,Fluid Conveyor Belt,Fluid,1954.15,Net30,2023-09-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000084,V0329,Mechanical Circuit Breaker Heavy Duty,Mechanical,4153.67,Net30,2022-10-13,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000085,V0114,Fluid Control Panel Premium,Fluid,2386.67,Net60,2023-03-23,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000086,V0091,Mechanical Flow Meter,Mechanical,4489.21,Net60,2023-08-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000087,V0009,Structural Valves Standard,Structural,3264.59,Net30,2022-12-15,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000088,V0147,Instrumentation Circuit Breaker Standard,Instrumentation,2469.84,Net60,2023-10-03,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000089,V0206,Structural Copper Wire Standard,Structural,2533.88,Net60,2024-03-26,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000090,V0322,Instrumentation Transformer Oil Kit,Instrumentation,2205.75,Net45,2021-10-28,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000091,V0270,Instrumentation Flow Meter Premium,Instrumentation,1548.89,Net30,2021-11-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000092,V0154,Fluid Safety Helmet Premium,Fluid,140.89,Net15,2023-03-28,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000093,V0332,Electrical Steel Rod Kit,Electrical,658.69,Net60,2023-07-05,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000094,V0017,Safety Flow Meter Kit,Safety,347.0,Net60,2022-11-30,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000095,V0192,Electrical Transformer Oil Kit,Electrical,2134.52,Net45,2023-08-21,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000096,V0214,Electrical Pneumatic Cylinder Kit,Electrical,260.74,Net45,2022-07-05,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000097,V0227,Safety Pressure Gauge Kit,Safety,376.96,Net30,2024-01-11,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000098,V0378,Electrical Transformer Oil Standard,Electrical,404.98,Net60,2023-03-15,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000099,null,Instrumentation Safety Helmet,Instrumentation,1392.21,Net15,2022-01-18,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000100,V0484,Structural Safety Helmet Heavy Duty,Structural,963.36,Net15,2024-10-06,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000101,null,Safety Steel Rod Standard,Safety,193.91,Net60,2023-08-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000102,V0138,Electrical Gearbox Premium,Electrical,1134.19,Net45,2021-08-01,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000103,V0430,Structural Copper Wire Standard,Structural,2495.23,Net30,2024-11-09,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000104,V0307,Mechanical Copper Wire Heavy Duty,Mechanical,3829.56,Net30,2021-04-22,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000105,V0325,Safety Lubricant Standard,Safety,460.96,Net15,2022-10-25,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000106,V0045,Safety Steel Rod Standard,Safety,186.61,Net999,2021-03-26,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000107,V0266,Mechanical Welding Rod Heavy Duty,Mechanical,896.15,Net60,2023-02-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000108, V0490 ,Fluid Control Panel Premium,Fluid,2191.69,Net30,2023-08-24,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000109,V0110,Structural Transformer Oil Kit,Structural,3050.84,Net15,2024-09-10,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000110,V0008,Fluid Conveyor Belt Kit,Fluid,1483.23,Net15,2024-09-04,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000111,V0428,Safety Conveyor Belt Standard,Safety,130.35,Net45,2022-03-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000112,V0184,Safety Conveyor Belt,Safety,289.46,Net60,2022-02-02,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000113,V0405,Structural PVC Pipe Heavy Duty,Structural,763.98,Net45,2022-02-22,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000114,V0253,Instrumentation Steel Rod,Instrumentation,2972.78,Net15,2024-10-18,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000115,V0123,Mechanical Circuit Breaker Premium,Mechanical,2856.5,Net60,2024-03-19,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000116,V0153,Structural Copper Wire Premium,Structural,1945.53,Net15,2022-07-07,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000117,V0283,Instrumentation Copper Wire,Instrumentation,4087.68,Net30,2022-01-03,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000118,V0206,Electrical Steel Rod Standard,Electrical,1412.78,Net60,2024-10-30,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000119,V0374,Mechanical Copper Wire Heavy Duty,Mechanical,3853.23,Net60,2021-05-26,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000120,V0227,Safety Hydraulic Pump Heavy Duty,Safety,51.29,Net30,2022-08-04,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000121,V0323,Electrical Bearing Heavy Duty,Electrical,1630.62,Net60,2021-01-04,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000122,V0272,Electrical PVC Pipe Kit,Electrical,2076.17,Net45,2023-12-09,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000123,V0366,Mechanical Electric Motor Standard,Mechanical,2053.83,Net45,2022-03-13,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000124,V0190,Safety Transformer Oil Heavy Duty,Safety,475.28,Net45,2021-02-05,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000125,V0412,Structural Flow Meter Premium,Structural,1785.96,Net45,2023-01-24,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000126,V0494,Electrical Transformer Oil Standard,Electrical,413.74,Net15,2024-10-11,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000127,V0499,Instrumentation Copper Wire Heavy Duty,Instrumentation,871.85,Net60,2022-02-26,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000128,V0334,Mechanical Circuit Breaker Premium,Mechanical,2817.45,Net15,2022-12-25,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000129,V0472,Electrical Circuit Breaker,Electrical,1617.37,Net15,2024-11-21,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000130,V0162,Structural Safety Helmet Heavy Duty,Structural,1042.84,Net60,2022-02-04,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000131,V0396,Safety Conveyor Belt,Safety,301.72,Net60,2023-10-08,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
CON000132,V0379,Mechanical Pressure Gauge Premium,Mechanical,3149.1,Net30,2021-01-14,2026-07-09T18:01:58.950Z,2026-07-09,8169b151-cbbc-4d7f-bfa1-26950e5c866e,vendor_contracts
